" width=""10%"" Feature"," width=""10%"" Android"," width=""10%"" iOS"," width=""10%"" Tizen"," width=""10%"" Sailfish OS"," width=""10%"" Ubuntu Touch"
"Cut, copy, and paste",Yes,3+,Yes,Yes,Yes
Multi-Device clipboard,No,10+,No,No,No
Undo,No,3+,No,No,Yes
Custom home and lock screen wallpaper,Yes,4+,Yes,Yes (incl. Ambience),Yes
Desktop sync,"No2 No, but available using the vendors companion/PC suite application such as Samsung Smart Switch  ; HTC Sense",Yes,Yes,?,Yes
Local full backup,"Yes, via external computer","Yes, using external computer or iCloud",No,Yes,Yes
Core data missing sync,"Bookmarks (before 4), SMSs and Settings",,?,?,?
Notification center,Yes,5+,Yes,Yes
Push notifications,Yes,Yes (Apple Push Notification Service),2+,Yes,Yes
Screenshot,"4+ also available on earlier versions with customized firmware, such as Cyanogen Mod and on older Samsung Galaxy smartphones",Yes,Yes,2.0.2+,Yes
iCalendar import,"No2 No, but 3rd party app available",Yes,?,1.1.6+,No
Text/document support (read only; creating using third party apps)," Microsoft Office, PDF, TXT/RTF ","Microsoft Office, iWork, PDF, Images, TXT/RTF, VCF","Read only: text files, PDF, HTML, Multiple office formats","Microsoft Office, OpenDocument, PDF, Text",Yes
Printer support,4.4+ using Google Cloud Print but not over USB unless proprietary vendor solutions such as HP Print Service are used,Yes (AirPrint),No,"yes, cups package is available",beta
Show remembered Wi-Fi connections,Yes,"No, 3rd party software on jailbroken devices",?,Yes,Yes
