" width="10%" Feature"," width="10%" Android"," width="10%" iOS"," width="10%" Windows 10 Mobile"," width="10%" BlackBerry 10"," width="10%" Tizen"," width="10%" Sailfish OS"," width="10%" Ubuntu Touch"
While-in-use permissions,10+,11+: Location only,No,No,No,No,Yes
Per-app Internet access,"No2No, 3rd party software",7+: Cellular only; 3rd party software on jailbroken devices,No,Yes,No,No,No
Per-app identity access,8+,6+,No,Yes,No,No,Yes
Per-app user data access,6+,6+,8.1update2+,"Yes",No,No,Yes
Per-app background execution,"No2 No, 3rd party apps available",7+,Yes,10.2.1+,No,No,Background execution not allowed
Per-app notifications,4.1+,5+,8.1+,10+,No,No,Yes
Per-app location access,6+,10+,"Yes",No,No,Yes
Per-app camera access,6+,"8.1update2+","Yes",No,No,Yes
Per-app microphone access,6+,"8.1update2+","Yes",No,No,Yes
Per-app shared files access,6+,No,"Yes",No,No,Yes
Per-app network data usage auditing,4+,Yes,8 GDR2+ Data Sense or Nokia Counters in 7.5+,Yes,?,No,No
Fine grained storage usage,Yes,5+,8 GDR3+,10.2.1+,?,No,Yes
Parental controls,4.3+ or 3rd party software,Yes,8+,7.1+,?,No,No
Screen orientation lock,Yes,Yes,10+,?,1.0.4.1+,Yes
File manager,6.0+,11+,8.1+,10+,No2 3rd party software,Yes,Yes
File manager write access to external storage,6+ Or 3rd party software like LineageOS,3rd party software and external storage,Yes,Yes,Yes,Yes,Yes
Multi-user,"4.2+, including phones 5+",9.3+: Education use only on iPad,No,No,No,No,No
Guest mode,5+,6+,"No, Kids Corner removed on Windows 10 Mobile Anniversary Update, Apps Corner is removed on Creators Update",No,No,No,No
Do not disturb mode,5+,6+,8.1+,Yes,No,No,No
App groups,Yes,4+,8.1 Update+,Yes,?,1.0.7.16+,Yes
