Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB limit,Interface
cURL,Daniel Stenberg,1998,Latest stable software release/cURL,MIT,yes,CLI
Cyberduck,David V. Kocher,2001,7.2.5 20200101,GPL,yes,GUI and CLI
FAR Manager,Eugene Roshal / FAR Group,1996,mf=y,BSD,yes,TUI
*FileZilla,Community,2001 (January),Latest stable software release/FileZilla,GPL,yes,GUI
FireFTP,Mime Čuvalo,2004 (September),Latest stable software release/FireFTP," MPL 1.1, Charityware",Yes (since version 2.0.5),Firefox pre-version 57 addon
Fugu,University of Michigan Research Systems Unix Group,2003,1.2.0 20050502,BSD,dunno,GUI
gFTP,Brian Masney,1998,2.0.19 20081130,GPL,Yes,GTK+
lftp,Alexander V. Lukyanov,1996 (August),Latest stable software release/lftp,GPL,yes,CLI
Macfusion,Michael Gorbach,0 ?,2.0.4,BSD,dunno,GUI
NcFTP,NcFTP Software Inc.,1991,3.2.6  20161127,Clarified Artistic License,yes,CLI
net2ftp,David C. Gartner,2003 (January),0.98 20130301,GPL,dunno,Web application
tnftp,Luke Mewburn,1999,20151004 20151004,BSD,yes,CLI
WinSCP,Martin Přikryl,2000,Latest stable software release/WinSCP,GPL,yes,GUI and CLI
