Company,Software,On-demand scan,On-access scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
align=leftAVG Technologies (Grisoft),AVG Linux Server Edition,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Proprietary,Nonfree,2008,Czech Republic,
align=leftCisco,Clam AntiVirus,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,GPL-lic,Free,1998,United States,
align=leftComodo Group,Comodo Internet Security Linux,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Proprietary,Free,2008,United States,
align=leftDr. Web,Dr. Web Anti-virus for Linux,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Trialware,1992,Russia,
align=leftESET,ESET File Security for Linux,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Proprietary,Nonfree,2008,Slovakia,
align=leftFRISK Software,F-PROT Antivirus,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Proprietary,Trialware,1989,Iceland,
align=leftF-Secure,F-Secure Linux Security,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2008,Finland,
align=leftFortinet,Forticlient,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Proprietary,Free,2009,United States,
align=leftKaspersky Lab,Kaspersky Anti-Virus for Linux,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Proprietary,Nonfree,2012,Russia,Banned by USG
align=leftPanda Security,Panda DesktopSecure for Linux,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2008,Spain,
align=leftQuick Heal,Quick Heal for Linux,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2005,India,GoDeep.AI engine
align=leftSophos,Sophos Anti-Virus for Linux,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Free,2008,United Kingdom,
Company,Software,On-demand scan,On-access scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
