Software,Creates?,Modifies?,Mounts?,Writes/Burns?,Extracts?,Input,Output,OS,License
7-Zip,yes,no,no,no,yes," DMG, FAT, HFS, MBR, ISO, UDF, VHD, WIM ",WIM," Windows, Linux, Classic Mac OS ",Free software (GPL)
AcetoneISO,yes,no,yes,yes,yes," CD, DVD, ISO, BIN, MDF+MDS, IMG, NRG, CUE, TOC, DMG "," CD, DVD, ISO, BIN ",Linux,Free software (GPL)
Acronis True Image,yes,no,yes,yes,yes," TIB, VHD "," TIB, VHD ",Windows,Shareware
Alcohol 120%,yes,no,yes,yes,no," ISO, B5T, B6T, BWT, CCD, CDI, CUE, MDF+MDS, NRG, ISZ  "," MDF+MDS, ISO ",Windows,Trialware
Alcohol 52% FE,yes,no,yes,no,no,ISO,N/A,Windows,Adware
AnyDVD HD,yes,no,no,no,no,N/A,ISO,Windows,Shareware
Archive Manager,no,no,no,no,yes,ISO,N/A,Unix-like,Free software (GPL)
Ashampoo Burning Studio,yes,no,no,yes,no," ISO, BIN+CUE "," ISO, BIN+CUE ",Windows,Past version are made available as freeware from time to time
BlindWrite,yes,no,no,yes,no," B5T, B6T, BWA, BWI, BWS, BWT, BIN+CUE, ISO, MDF+MDS "," B5T, B6T, BWA, BWI, BWS, BWT, BIN+CUE, ISO, MDF+MDS ",Windows,Shareware
Brasero,no,no,no,yes,no," ISO, CUE "," CD, DVD ",Linux,Free software (GPL)
Burnatonce,no,no,no,yes,no," ISO, CUE, TOC ",N/A,Windows,Freeware
CDBurnerXP,yes,no,no,yes,no," ISO, MDF+MDS, NRG, BIN+CUE"," ISO, MDF+MDS ",Windows,Freeware
CDemu,yes,no,yes,yes,yes," CSO, ECM, GBI, GZ, XZ, ISZ, DMG, ISO, UDF, NRG, CDI, CCD, SUB, IMG, BIN+CUE, TOC, B5T+B5I, B6T+B6I, MDF+MDS, MDX, CIF, C2D, DAA "," ISO, TOC ",Linux,Free software (GPL v2)
genisoimage,yes,no,no,no,no,N/A,Dunno," Linux,Unix ",Free software (GPL)
isoinfo,no,no,no,no,yes,Dunno,N/A," Unix, Linux,AmigaWindows, macOS ",Free software (GPL)
mkisofs,yes,no,no,no,no,N/A,Dunno," Unix, Linux,AmigaWindows, macOS  ",Free software (GPL)
CDRoller,Yes,No,No,Yes,Yes,ISO,ISO,Windows,Shareware
CDRWIN,dunno,dunno,dunno,dunno,dunno,BIN+CUE,BIN+CUE,Windows,Shareware
CloneCD,yes,no,no,yes,no,N/A," ISO, UFD, IMG ",Windows,Shareware
CloneDVD,yes,no,no,yes,yes,ISO,ISO,Windows,Shareware
CopyCatX,yes,no,no,yes,yes,DMG,DMG,macOS,Shareware
Daemon Tools,yes,All editionsexcept Lite,yes,Lite editions requires Astroburn,All editionsexcept Lite," BIN+CUE, B5T, B6T, BWT, CCD, CDI, ISO, ISZ, MDF+MDS, MDX, NRG, VHD, Daemon Tools supports the following non-image formats: ZIP, APE+CUE, FLAC+CUE, WAV+CUE"," ISO, MDF+MDS, MDX – VHD and TrueCrypt in Ultra edition ",Windows," All editions are trialware, except Lite edition, which is only shareware in Korea but freeware elsewhere."
DeepBurner,yes,no,no,yes,no,ISO,ISO,Windows,Freemium
Disco,yes,no,no,yes,no," CDR, ISO, DMG "," CDR, ISO, DMG ",macOS,Freeware
DiscJuggler,dunno,dunno,dunno,dunno,dunno," CDI, ISO ",CDI,Windows,Shareware
Disk Utility,yes,yes,yes,yes,yes," DMG, ISO "," DMG, ISO ",macOS,Part of macOS
DiskImageMounter,no,yes,yes,yes,no," DMG, ISO "," DMG, ISO ",macOS,Part of macOS
DVD Shrink,yes,no,no,no,Opens DVD images (File menu or Ctrl-I)," ISO, NRG, IMG, MDF+MDS ",ISO,Windows,Freeware
Exact Audio Copy,Audio tracks only. Leaves an ISO placeholder for the data track in the CUE for mixed-mode discs.,no,no,no,no,CUE,CUE/audio file types,Windows,Free software
Furius ISO Mount,no,no,yes,yes,no," ISO, IMG, BIN, MDF+MDS, NRG ",dunno,Linux,Free software (GPL)
Image for Windows,yes,no,yes,yes,yes," TBI, VHD, VMDK "," TBI, VHD, VMDK ",Windows,Shareware
ImgBurn,yes,no,no,yes,no," APE+CUE, BIN+CUE, CDI, CDR, DI, FLAC+CUE, GCM, GI, IBQ, IMG, ISO, LST, MDF+MDS, NRG, PDI, UDI, WV "," ISO, IMG, BIN+CUE ",Windows,Freeware
ImgDrive,yes,no,yes,no,no," CCD, ISO, ISZ, NRG ",ISO,Windows,Freeware
InfraRecorder,yes,no,no,yes,no,ISO,ISO,Windows,Free software (GPL)
ISO Master,yes,yes,no,no,yes,ISO,ISO,Linux,Free software (GPL)
ISO Recorder,yes,no,no,yes,no,ISO,ISO,Windows,Free software (BSD license)
IsoBuster,Yes,no,no,yes,yes," DAO, TAO, ISO, BIN+CUE, IMG+CCD, CIF, FCD, NRG, GCD, P01, C2D, CDI, CD, GI, PXI, MDF+MDS, VC4/000, B5T+B5I, B6T+B6I, DMG, IBP+IBQ, NCD, FLP, E01/S01/Ex01, RMG, UDF, DSK, VMDK, IBADR+IBDAT, DD, XISO, XBX, IMAGE, VHD, VHDX, DC42, WBFS, ST, 128, 256, 512, 512E, 1KN, 2KN, 4KN, 8KN, 16KN, 32KN, 64KN"," ISO, TAO, BIN, CUE, IBADR+IBDAT, DSK, 1KN, 2KN, 4KN, 8KN, 16KN, 32KN, 64KN, IBR, IBP and IBQ",Windows,Shareware
IsoCreator,yes,no,no,no,no,N/A,ISO,Windows,AFL)
K3b,yes,no,no,yes,yes,ISO,N/A,Unix-like,Free software (GPL)
libguestfs,yes,yes,yes,no,yes," raw, qcow2, VMDK, VHD "," raw, qcow2, VMDK, VHD ",Linux,Free software (LGPL)
Loop device,no,no,yes,no,no,Raw image,N/A," Linux, FreeBSD ",Free software
MagicISO,yes,yes,With MagicDisc,yes,yes," Both MagicISO and MagicDisc: ISO, BIN+CUE, IMA, IMG, CIF, NRG, IMG+CCD, MDF+MDS, VCD, VaporCD, P01, MD1, XA, VC4/000, VDI, C2D, BWI+BWT, CDI, TAO/DAO, PDI."
mount,no,no,yes,no,no,ISO,N/A,Linux,Free software (GPL)
Nero Multimedia Suite,yes,no,no,yes,no," ISO, NRG "," ISO, NRG ",Windows,Shareware
Nero Burning ROM,yes,no,no,yes,no," ISO, NRG "," ISO, NRG ",Windows,Shareware
Nero Linux,yes,no,no,yes,no," ISO, NRG "," ISO, NRG ",Linux,Shareware (Discontinued)
Norton Ghost,yes,no,yes,yes,dunno," GHO, GHS, VMDK, V2I, IV2I, PQI "," GHO, GHS, VMDK ",Windows,Shareware
OSFmount,no,yes,yes,dunno,dunno," IMG, DD, ISO, BIN+CUE, 00n, NRG, SDI, AFF(v3), AFM, AFD, VMDK, E01, S01, VHD ",dunno,Windows,Freeware
Partimage,yes,no,no,yes,no," Compressed HPFS, JFS, UFS, HFS and NTFS"," Ext2, Ext3, Reiserfs, FAT16, FAT32, HPFS, JFS, Xfs, UFS, HFS and NTFS ",Linux,Free software (GPL)
PeaZip,no,no,no,no,yes," DMG, ISO, VHD, WIM ",N/A," Windows, Linux ",LGPL v3)
Roxio Creator,Yes,no,no,yes,no," ISO, C2D, BIN+CUE, GI "," ISO, GI ",Windows,Proprietarycommercial
Roxio Toast,no,no,no,yes,no," ISO, BIN+CUE, IMG, DMG, CDR, NRG ",N/A,macOS,Proprietarycommercial
UltraISO,yes,yes,yes,yes,yes," BIN+CUE, BWI+BWT, B5T+B5I, B6T+B6I, C2D, CDI, CIF, DAA, DMG, FCD, G2D, GCD, GI, IMA, IMG+CCD, IML, ISO, ISZ, LCD, MDF+MDS, NCD, NRG, P01+MD1+XA, PDI, PXI, TAO, DAO, UIF, VaporCD, VC4/000, VCD, VDI, XMD+XMF "," BIN+CUE, CCD+IMG+SUB, ISO, ISZ, MDF+MDS, NRG ",Windows,Trialware
Virtual CloneDrive,no,no,yes,no,no," ISO, BIN, IMG, UDF, DVD, CCD ",n/a,Windows,Freeware
Virtual CD-ROM Control Panel,no,no,yes,no,no,ISO,n/a,Windows,Freeware
VirtualDrive Pro,no,no,yes,no,no,N/A,N/A,Windows,Shareware
WADK,yes,yes,yes,yes,No," WIM, WSM "," WIM, WSM ",Windows NT,Freeware; DISM component is included with Windows
WinCDEmu,yes,no,yes,no,no," ISO, BIN, NRG, MDF+MDS, CCD, IMG ",N/A,Windows,Free software (LGPL)
File Explorer,VHD only,No,yes,ISO only,No," ISO, VHD ",VHD,Windows NT,Part of Windows
WinISO,yes,yes,yes,yes,yes," ISO, BIN, CCD, CUE, DVD, IMG, MDF, MDS, NRG "," ISO, BIN, CCD, CUE, DVD, IMG, MDF, MDS, NRG ",Windows,Shareware
WinRAR,no,no,no,no,yes,ISO,N/A,Windows,Shareware
WinZip,no,no,no,no,yes,ISO,N/A,Windows,Shareware
xorriso,yes,yes,LinuxFreeBSD," Linux,BSD,Solaris ",yes,ISO,ISO," Unix, Linux,Cygwin,macOS ",Free software (GPL)
Software,Creates?,Modifies?,Mounts?,Writes/Burns?,Extracts?,Input?,Output?,OS,License
