Model,Launch,Model Number,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,|[[Application programming interface|API]] compliance (version),,|Processing power<br />([[GFLOPS]]),rowspan="2" |TDP
(Watts),|Notes
,,,,,,,,,!Pixel ([[Pixel|GP]]/s),Texture ([[Texel (graphics)|GT]]/s),Size ([[megabyte|MB]]),Bandwidth ([[Gigabyte|GB]]/s),Bus type,Bus width ([[bit]]),[[Direct3D]],[[OpenGL]],,
Mobility Radeon HD 3100,"August 1, 2008",RS780MC,RV620,55,PCIe x16 1.1,300,800(system memory),40:4:4,1.2,1.2,up to 512 from system memory,6.4/12.8,DDR2,64/128,10.1,2.0 (3.3),24,," UVD, PowerPlay 7.0"
Mobility Radeon HD 3200,"June 4, 2008",RS780MC,,,,500,800(system memory),,2,2,,6.4/12.8,,,,,40,,
Mobility Radeon HD 3410," July 25, 2008",M82-MPE,,,,400,400,,1.6,1.6,256, 512,6.4,,|64,,,32,,
Mobility Radeon HD 3430,,M82-SE,,,PCIe x16 2.0,450,400,,1.8,1.8,|256,6.4,,,,,36,,
Mobility Radeon HD 3450," January 7, 2008",M82,,,,500,400700,,2,2,,6.4<br />11.2,,,,,|DDR2<br />[[GDDR3]],,,40,
Mobility Radeon HD 3470,,M82-XT,,,,680,400800,,2.72,2.72,,6.4<br />12.8,,,,,,,,54.4,
Mobility Radeon HD 3650,,M86,,,,RV635,500,500700,120:8:4,2,4,5121024,16.022.4,|DDR2<br />GDDR3<br />[[GDDR4]],|128,3.3,120,,
Mobility Radeon HD 3670,,M86-XT,,,,,680,800,,2.72,5.44,,25.6,,,|2.0 (3.3),163.2,30,|[[UVD]], PowerPlay 7.0
Mobility Radeon HD 3850," June 4, 2008",M88-L/M88-LP,RV670,580,750,320:16:16,9.28,9.28,512,48.0,GDDR3,256,371.2,,,,,
Mobility Radeon HD 3870,,M88-LXT,,660,850,,10.56,10.56,,54.4,,,422.4,,,,55,
Mobility Radeon HD 3850 X2,"June 5, 2008",2x M88-L/M88-LP,R680,580,750,2x [320:16:16],2x 9.28,2x 9.28,2x 512,2x 48.0,,2x 256,2x 371.2,,,,,
Mobility Radeon HD 3870 X2,"September 1, 2008",2x M88-LXT,,660,850,,2x 10.56,2x 10.56,,2x 54.4,,,2x 422.4,,,,110,
