,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
b,1,Yes,Yes,Yes,Yes,Yes,Yes
big,3,,,,,,
hr,1,,,,,,
i,1,,,,,,
small,3,,,,,,
sub,,,,,,,
sup,,,,,,,
tt,Yes,,,,,,
