Manager,Latest stable release,License / Price (USD)," Adware, Malware  ; Spyware",CLI,GUI,Web,Linux,Windows,Mac OS X
4K Video Downloader,4.4.7.2307 (2018530),Proprietary / Freemium,No,No,yes,No,yes,yes,yes
BitComet,Latest stable software release/BitComet,Proprietary / freeware,Adware from version 0.85 to 0.97;Potentially sensitive information reported to BC Servers,Partial,yes,date=June 2010,no,yes,no
DownloadStudio,10.0.4.0(20171228),Shareware / $24.95,None Known,yes,yes,yes,no,yes,no
DownThemAll!,Latest stable software release/DownThemAll!,GPL /,None Known,no,yes,yes," Requires recent version of Chrome, Firefox and Opera","Requires recent version of Chrome, Firefox and Opera","Requires recent version of Chrome, Firefox and Opera"
FlashGet,3.7.0.1195(2012110),Proprietary / Freeware,No,no,yes,yes,no,yes,no
Folx,Latest stable software release/Folx,Shareware / $19.95,No,yes,yes,yes,no,no,yes
Free Download Manager,Latest stable software release/Free Download Manager,Proprietary / Freeware after version 5.0 and newer,No,no,yes,no,no,yes,yes
Free Studio,6.6.35.323(2017323),Proprietary / Freeware,No,no,yes,no,yes,yes,yes
Freemake Video Downloader,3.8.0(20160512),Proprietary / Freeware,Offers to install sponsored software upon installation changing default search engine and browsers homepage,no,yes,no,no,yes,no
GetRight,Latest stable software release/GetRight,Proprietary / $49.95 for Pro,No,yes,yes,yes,no,yes,no
Go!Zilla,5.03(200821),Proprietary / $19.95,None as of Version 5;Aureate adware prior to that,no,yes,yes,no,yes,yes
Internet Download Accelerator,6.19.1.1641(20190724)," Proprietary / Freeware, $9.95 single/$24.95 family pack for Pro",Adware on free version,yes,yes,no,no,yes,no
Internet Download Manager,6.31 Build 3(20180709
