Syntax,Here document,Language(s)
,Yes," Bourne shell, Perl, PHP, Ruby"
,Yes,PHP
" @"" I have a lot of things to say and so little time to say them ""@",No,Windows Powershell
" ""[ I have a lot of things to say and so little time to say them ]""",No,Eiffel
" """""" I have a lot of things to say and so little time to say them """"""",No," CoffeeScript, Python, Groovy, Swift, Kotlin"
""" I have a lot of things to say and so little time to say them """,No,"Visual Basic .NET (all strings are multiline), Rust (all strings are multiline)"
" r"" I have a lot of things to say and so little time to say them """,No,Rust
I have a lot of things to say and so little time to say them,No,Lua
