"," C, C++",Java,C#," VB, VBScript"," Delphi, Pascal",Ada,D,IDL,Access,Fortran
,",No,No,No,No,No,No,Yes,No,No,No
"!," bgcolor="#ffffdd"  C++/CLI only",Yes,Yes,Yes,No,No,No,Yes,Yes,No
"!,Yes,Yes,Yes," with Pluginname=fn2Though not supported as a native input language, Doxygen can be extended through the use of filters. Examples include Visual Basic, VB.NET, Perl, and Pascal.",with Pluginname=fn2,No," bgcolor="#ffffdd"  Partial",Yes,No,Yes
,",No,No,No,No,No,No,No,No,No,No
,",No,No,No,No,No,No,No,No,No,No
,",Yes,Yes,No,No,Yes,No,No,Yes,No,No
,",Yes,Yes,No,No,No,No,No,No,No,No
,",No,Yes,No,No,No,No,No,No,No,No
,",No,No,No,No,No,No,No,No,No,No
,",No,No,No,No,No,No,No,No,No,No
,"," bgcolor="#ffffdd"  Partial"," bgcolor="#ffffdd"  Partial",Yes," bgcolor="#ffffdd"  Partial"," bgcolor="#ffffdd"  Partial"," bgcolor="#ffffdd"  Partial",No,No,No," bgcolor="#ffffdd"  Partial"
,",No,No,Yes,No,No,No,No,No,No,No
"!,No,No,No,No,No,No,No,No,No,No
"!,No,No,No,No,No,No,No,No,No,No
"!,No,No,No,No,No,No,No,No,No,No
,",No,No,No,No,No,No,No,No,No,No
"!," bgcolor="#ffffdd"  Partial",No,No,No,No,No,No,No,No,No
,",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
,",Yes,with Plugin,No,No,No,with Plugin,No,No,No,with Plugin
,",No,No,Yes,No,No,No,No,No,No,No
,",No,No,Yes,Yes,No,No,No,No,No,No
,",No,No,No,No,No,No,No,No,No,No
" class="sortbottom",," C, C++",Java,C#," VB, VBScript"," Delphi, Pascal",Ada,D,IDL,Access,Fortran
