,Trident,Gecko,WebKit,KHTML,Presto,Prince XML,Antenna House
XML namespace,5.0,1.0,Dunno,yes,1.0,5.1,yes
xml:id,no,no,no,no,2.0,,{{yes}}
XML Events,no,1.8,Dunno,Dunno,1.0,Dunno,no
XInclude,3.1,no,no,Dunno,no,5.1,no
XML Fragment Interchange,Dunno,Dunno,Dunno,Dunno,Dunno,Dunno,no
Associating CSS,5.0,1.0,419,yes,1.0,yes,yes
