,,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,,,Fillrate,,Memory,,,,Supported API version,,Processing power (GFLOPS),TBP (Watts),Notes
,,,,,,,,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,,,
"!," January 8, 2009",MCP79XT,65",Integrated(PCIe 1.0 ×16),16:8:4,450?,1000,800(system memory),1.8,3.6,Up to 512 from system memory,6.4,DDR2",64",10.0",3.3",48,14"," PureVideo HD, CUDA, Hybrid SLI, based on GeForce 9400M G"
"!," January 1, 2009",N10M-GE2(G98),,PCIe 2.0 ×16",8:8:4",640",1600",1000,2.56",5.12",512,8,,,,,38,,PureVideo HD, CUDA, Hybrid SLI, comparable to the GeForce 9300M GS"
"!,January 8, 2009",N10M-GE1(G98),,,,,,10001400,,,,811,GDDR2GDDR3,,,,38,,
"!,,N10M-GE1(G96b),,,55",16:8:4,400,1000,10001400,1.6,3.2,1024",811,,,,DDR2GDDR3,48," PureVideo HD, CUDA, Hybrid SLI"
"!," February 11, 2009",N10P-GV1(G96b),,,,32:16:8",500,1250,1000,4,8,,16,DDR2,,,128",110,23"," PureVideo HD, CUDA, Hybrid SLI, Comparable to the 9500M GT and 9600M GT DDR2 (500/1250/400)"
"!," January 8, 2009",N10P-GE1(G96b),,,,,600,1500,10001600,4.8,9.6,,1625.6,DDR2GDDR3,,,,144,," PureVideo HD, CUDA, Hybrid SLI, comparable to the 9650M GT"
"!,March 3, 2009",N10E-GE1(G94b),64:32:16",400,1000,1600",6.4,12.8,51.2",GDDR3",256",,192,unk,PureVideo HD, CUDA, Hybrid SLI"
"!,,N10E-GS1(G94b),,600,1500,,9.6,19.2,,,,,288,60,
