",DOS,eCS,Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,OpenVMS
Directory Opus,no,no,yes,no,no,no,no," yes",no
Dired,yes,yes,yes,yes,yes,yes,yes,yes,yes
Dolphin,no,no,Needs KDE,yes,yes,yes,no,no
Double Commander,no,no,yes,yes,yes,yes,yes,no,no
DOS Navigator,yes,yes,yes,no,no,no,no,no,no
emelFM2,no,no,no,no,yes,Yes,Yes,no,no
File Commander,no,yes,yes,no,yes,yes,yes,no,no
fman,no,no,yes,yes,yes,no,no,no,no
GNOME Commander,no,no,no,yes,yes,yes,yes,no,no
Konqueror,no,no," Needs KDE"," yes",yes,yes,yes,no,no
Krusader,no,no,no,Needs X,yes,yes,yes,no,no
Midnight Commander,yes,no," yes"," yes",yes,yes,yes,yes,no
muCommander,no,no,yes,yes,yes,yes,yes,dunno,yes
nnn,no,no,no,yes,yes,yes,yes,no,no
GNOME Files (Nautilus),no,no,no,no,yes,yes,yes,no,no
Nemo,no,no,no,no,yes,yes,yes,no,no
PathMinder,yes,no,yes,no,no,no,no,no,no
PCManFM,no,Needs POSIX-compliant platform,Needs POSIX-compliant platform,Needs POSIX-compliant platform,yes,yes,yes,no,yes
Ranger,no,no,no,yes,yes,yes,yes,no,no
ROX-Filer,no,no,,,yes,yes,yes,no,no
Thunar,no,no,no,no,yes,yes,yes,no,no
Total Commander,no,no,yes,no,yes,no,no,no,no
Volkov Commander,yes,yes,yes,no,no,no,no,no,no
Xandros File Manager,no,no,no,no,yes,dunno,dunno,no,no
Xfe,no,Needs X,Needs X,Needs X,yes,yes,yes,Needs X,yes
Xfm,no,Needs X,Needs X,Needs X,yes,yes,yes,no,yes
ZTreeWin,no,yes,yes,no,no,no,no,no,no
"!,DOS,eCS,Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,OpenVMS
