IDE,Developer,Latest stable release,Platform,License
Decoda,Unknown Worlds Entertainment," 1.16 / October 25, 2011",Windows,GPL
SlickEdit,SlickEdit,October 2016," Solaris, Solaris SPARC",Proprietary
ZeroBrane Studio," Paul Kulchenko, ZeroBrane LLC"," 1.80 / October 7, 2018"," Windows, Mac, Linux",MIT License
