,Launch",Micro-archi-tecture",Code name",Fab (nm)",Bus interface",Clock rate",,Core config1",Fillrate",,Memory",,,,Processing power(GFLOPS)",,API compliance (version)",,,,TDP (Watts)",Notes"
,,,,,,Core (MHz),Memory (MHz),,Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct3D,OpenGL,OpenCL,Vulkan,,
FirePro W600,June 13, 2012",GCN 1st Gen.",Cape Verde Pro GL,28",PCIe 3.0 x16",750,1000,512:32:16:8,12.0,24.0,2",64,GDDR5",128,768,Up to 55,11.1/12",4.5",1.2",1.0,75,Six Mini DisplayPort
FirePro W5000,,,Pitcairn LE GL,,,825,800,768:48:32:12,26.4,39.6,,102.4,,256",1267.2,79.2,,,,,<75,"Two DisplayPort, One DVI-I"
FirePro W7000,,,Pitcairn XT GL,,,950,1200,1280:80:32:20,30.4,76.0,4",153.6,,,2432,152,,,,,<150,Four DisplayPort
FirePro W8000,June 14, 2012",,Tahiti PRO GL,,,900,1375,1792:112:32:28,28.8,100.8,,176,,,3225.6,806.4,,,,,<225,"ECC RAM, Four DisplayPort + SDI-Link"
FirePro W9000,,,Tahiti XT GL,,,975,1375,2048:128:32:32,31.20,124.8,6,264,384,3993.6,998.4,274,,,,,"ECC RAM, Six mini-DisplayPorts + SDI-Link"
