Model,Code name,Fab (nm),Bus interface,Core clock (MHz),Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,Processing power ([[GFLOPS]]),| Supported [[Application programming interface|API]] version,,| [[Thermal design power|TBP]] (Watts),| Notes
,,,,,,,,Pixel (GP/s),Texture ([[Texel (graphics)|GT]]/s),Size ([[Megabyte|MB]]),Bandwidth ([[Gigabyte|GB]]/s),Bus type,Bus width ([[bit]]),[[Single precision floating-point format|Single precision]],[[Direct3D]],[[OpenGL]],,
Quadro FX 360M,G86M,80,PCIe 1.0 ×16,400,800,1200,16:8:4,1.6,3.2,256,9.6,DDR2,64,38.4,10.0,3.3,17,Based on the GeForce 8400M GS
Quadro FX 560M,G73GLM,90,,500,500,,5:12:12:8,4,6,512,19.2,GDDR3,128,,9.0c,2.1,35?,7600GS based?
Quadro FX 1600M,G84M,80,,625,1250,1600,32:16:8,5,10,,25.6,,,120,|10.0,|3.3,50?,
Quadro FX 3600M,G92M,65,,500,,,64:32:1696:48:16,88,1624,,51.2,,256,240<br />360,,,70,Based on the GeForce 8800M GTX
