Client,HTML email,UTF-8 support,Image blocking,Junk filtering,,Phishing filtering,Thread view,Conversation view,PGP support,,| [[S/MIME]] support,,,
,,,,local,server- side,,,,inline,PGP/MIME or OpenPGP,protocol,[[OCSP]],[[Certificate revocation list|CRL]],certificates on tokens, smartcards support
Alpine,Read only,yes,yes,dunno,dunno,dunno,yes,dunno,yes,dunno,yes,dunno,dunno,dunno
Apple Mail,yes,yes,yes,yes,yes,dunno,yes,yes,no,no,yes,yes,yes,no
Becky! Internet Mail,yes,yes,yes,no,no,no,yes,no,yes,dunno,yes,dunno,dunno,dunno
Citadel,yes,yes,no,group=NoteCITADELspam,dunno,dunno,no,dunno,dunno,dunno,dunno,dunno,dunno
Claws Mail,Read-only,yes,yes,yes,yes,yes,yes,dunno,yes,yes,yes,dunno,yes,yes
Cone,Read only,yes,yes,yes,no,no,yes,dunno,no,yes,no,no,no,no
Courier,yes,no,no,yes,yes,dunno,no,dunno,dunno,dunno,dunno,dunno,dunno,dunno
Elm,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
eM Client,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes
EmailTray,yes,yes,yes,no,yes,dunno,no,no,no,no,no,no,no,no
Eudora,yes,no,yes,Pro only,Pro only,dunno,yes,No,group=NoteEUDORAPGP,group=NoteEUDORAPGP,yes,dunno,dunno,dunno
Evolution,yes,yes,yes,yes,dunno,no,yes,no,yes,yes,yes,dunno,dunno,dunno
Gnus,yes,yes,yes,yes,yes,dunno,yes,dunno,yes,yes,yes,dunno,dunno,yes
GroupWise,yes,yes,yes,yes,dunno,dunno,yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno
Hiri,yes,yes,yes,yes,yes,dunno,yes,yes,yes,no,no,no,no,no
i.Scribe / InScribe,Read-only,yes,yes,yes,no,dunno,yes,dunno,yes,no,no,no,no,no
IBM Notes,yes,yes,yes,yes,yes,yes,group=NoteNotesThread,dunno,yes,yes (4.1.2+),yes,yes,yes,yes
KMail,yes,yes,yes,yes,dunno,dunno,yes,yes,yes (with GPG)," yes (1.5+, with GPGME)",yes,yes,yes,dunno
Mailbird,yes,yes,yes,yes,yes,yes,yes,yes,dunno,no,no,no,no,no
Mailpile,dunno,yes,dunno,dunno,dunno,dunno,dunno,yes,dunno,yes,dunno,dunno,dunno,dunno
Microsoft Entourage,yes,yes,yes,yes,yes,yes,dunno,dunno,dunno,Yes,yes,dunno,dunno,Yes
Microsoft Office Outlook,yes,yes,yes,yes,yes,yes,yes,yes (2010+),no,no,yes,dunno,yes,yes
Mozilla Mail  ; Newsgroups,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
Mozilla Thunderbird,yes,group=NoteMTBUTF8,yes,yes,yes,group=NoteMTB15,yes,yes,group=NoteMTBPGP,yes,yes,yes,dunno,yes
