[],
([[kilogram|kg]]) ,([[pound (weight)|lb]]),
 0.9 , 2.0,
 0.9 to 1.125 , 2 to 2.5,
 1.125 to 1.5 , 2.5 to 3.3,
 1.5 , 3.3,
 Variable , Variable,
 Not Known, Not Known,
,
