Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
Mirial Softphone (Mirial s.u.r.l.)," Windows 2000-XP-2003-Vista-7 (including 64-bit versions), macOS (x86)",proprietary,not free," SIP, RTSP",H.323,DTLS-SRTP,Unk," H.264 Full-HD 1080p video rx/tx, Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence, G.722.1/C wideband audio, Call recording/export, DV/HDMI/Component capture, Presentation (H.239, RFC-4796), Encryption, Far End Camera Control, GPU accel (D3D and OpenGL)"," 7.0.24; 20100526, discontinued"
Mumble," Windows, Android",New BSD license,free,ICE,Opus,TLS and OCB-AES128,No max (limited only by server bandwidth and memory),"Chat with (limited) embedded HTML, latency, Access Control Lists for user management, Customizable In-Game Overlay for OpenGL and DirectX, Directional Audio, Plugin Support, Nested Channels, Echo cancellation for headset free use, Global Public Server List, Logitech G15 support, Push-To-Talk and Voice-Activation",1.2.19; 20170127
Nymgo," Windows, Android, iOS",proprietary,free," SIP, RTP and RTCP",Unk,Yes,No,"Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition",4.2.9; 201303
oovoo," Windows, Android",proprietary,free," SIP, RTP and RTCP",Unk,Yes,12,"Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition",4.2.9; 201303
Phoner,Windows,proprietary,free," SIP, TAPI, CAPI",Opus," TLS, SRTP, ZRTP",8," Conferencing, call redirection, call recording",Latest stable software release/Phoner
PhonerLite,Windows,proprietary,free,SIP,Opus," TLS, SRTP, ZRTP",8," Conferencing, call redirection, call recording",Latest stable software release/PhonerLite
QuteCom,Windows XP-2000,GPL,free,SIP,Dirac," SRTP, but key exchange via Everbee key Exchange which is not a Standard",Unk," Video, IM (MSN, AIM, ICQ, Yahoo!, XMPP, Google Talk), voicemail, wengo to phone, conferencing.",Latest stable software release/QuteCom
Roger Wilco GameSpy,Windows,proprietary,dunno,Proprietary,dunno,dunno,dunno,dunno,2001
Signal," Windows, Android, iPhone"," open source, The clients are published under the GPLv3 license, while the server code is published under the AGPLv3 license",free,,,,," Signal also allows users to send text messages, files, voice notes, pictures, GIFs, and video messages over a Wi-Fi or data connection to other Signal users on iOS, Android and a desktop app. The app also supports group messaging, read receipts and typing indicators, both of which can be disabled.",Latest stable software release/Signal (software)
Skype," Windows 2000-XP-Vista-7-Mobile (unsupported), BREW, Android, PSP",proprietary,free," Proprietary P2P protocol It is possible to connect by SIP to the Skype network via additional ""Skype Connect"" PBX software and alternative (SIP) client software/hardware. Neither the Skype software nor the Skype network supports SIP directly",SILK,TLS,25 starting with version 3.6.0.216. 10 with 2.x," Conferencing, video, file transfer, voicemail, Skype to phone, phone to Skype, additional P2P extensions (games, whiteboard, etc...); depending on platform.",Latest stable software release/Skype
TeamSpeak," Windows, Android, iOS",proprietary,free,Unk,Opus,Yes," 32 unlicensed, 512 with non-profit license, 2000"," Simultaneous server conferencing with tabs, 3D sound effects, scalable permissions system, firewall friendly file transfers, in-game overlay for DirectX  ; OpenGL games, global public server list, plugin system",3.3
TeamTalk," Windows, Android, iOS, Raspbian",proprietary,free,proprietary," Opus, Speex, WebM",No,1000," Video, file sharing, desktop sharing, stream media files (AVI)",5.3.3; 201811
TeamViewer," Windows, macOS, iOS, Android",proprietary,free (personal use only),Unk,Unk,AES256,Unk,Unk,Latest stable software release/TeamViewer
Telephone,macOS 10.10.2,BSD,free," SIP, ICE",Unk,No,Unk,Address Book integration,1.1.4; 20120306
" Toktumi Unlimited, Line2 Pro"," Windows XP-Vista-7, Android",proprietary,free,Proprietary with SIP core,Unk,Unk,20," Conferencing, voicemail, caller ID, call-waiting, address book integration; auto-attendant, call-forwarding",Windows; 201008; macOS; 201010
Tox," Windows, Android, FreeBSD",GPL,free," Tox, VP8"," Opus,",NaCl,Unk," Voice, video, instant messaging, file transfers",Unk
Tru App," Windows 2000-XP-Vista-7, Android, Symbian, BlackBerry OS,",proprietary,free," SIP, XMPP",Unk,Unk,Unk," Chat, file transfer, voicemail, inbound numbers, integration with GTalk, Microsoft Live, Skype",
Tuenti," Android, iPhone, Windows Phone",proprietary,free," SIP, XMPP"," iLBC, Opus",Yes,?," Voice, video, Instant messaging, group chat, photo and video sharing, SMS and MMS, native and social network contacts integration, incoming call/IM push notifications.",
Twinkle,Linux,GPL,free,SIP," GSM, iLBC, Speex narrow wide ultrawide"," SRTP, ZRTP",3," Conferencing, chat, file transfer, Firefox integration, call redirection, voicemail, support of VoIP-to-Phone services",Latest stable software release/Twinkle
Ventrilo," Windows, Android",proprietary,free,Unk,Unk,No,8," Conferencing, chat, text-to-speech",3.0.8
Viber," name=viber-desktop-restrictionViber must be first installed on a mobile phone to function on a desktop operating system name=viber-desktop-restriction Windows,name=viber-desktop-restriction Android, Bada, BlackBerry OS, iOS, Series 40, Symbian, Windows Phone",proprietary,dunno,Unk,Unk,Yes,Unk," Varies by platform: Text, picture and video messaging on all, voice calling only on iPhone, Android and Microsofts Windows Phone",Latest stable software release/Viber
Vonage,"Linux, macOS, Windows, Android, iOS",Proprietary,not free,"SIP, STUN, ICE, TURN","Audio: Opus, G.711 Video: VP8",SRTP,50,"VoIP , video, instant messaging, presence (SIP SIMPLE), PSTN (inbound and outbound), call waiting, call hold, call forwarding, voicemail, message-waiting indication, 3-way conferencing, contacts integration, receptionist console, video, group chat, content sharing, SMS over IP services, native and social network contacts integration, incoming call/IM push notifications, fax, file sharing, screen sharing (desktop only), number programmability."
Wire," Linux, Windows, macOS, iOS, Android, Web",GPLv3,not free,dunno," Opus (audio), VP8 (video)"," DTLS, SRTP"," End-to-end encryption by default for everything, instant messaging, video call, video group call, file sharing, GIF sharing, push to talk, edit message, delete message (on both side), timed messages, doodling, identity verification, screen sharing (desktop only)",dunno
X-Lite,Windows,proprietary,free," SIP, ICE, TURN"," iLBC, Speex",no,3," VoIP over WiFi, 3G, 4G, video, instant messaging, presence (SIP SIMPLE), call waiting, call hold, call forwarding, voice mail, message waiting indication, 3 way conferencing, contacts integration, background noise reduction (BNR), automatic gain control (AGC)",5.3.3 20180710
Yahoo! Messenger," Windows, (Linux, FreeBSD version VoIP incapable)",proprietary,free,SIP (using TLS) and RTP (media),Unk,Unk,Unk," Video, file transfer, PC to phone, phone to PC",Windows: 11.5.0.228; 20120531 Mac: 3.0.1; 20110720 Linux: 1.0.6; 200309 SunOS 5.7: 0.99.17-1; 200309 Solaris 8: 1.0.4; 200309 FreeBSD 4-5: 1.0.4; 200309 iOS: 2.2.6; 20120712
Yate Client,Windows,GPL,free," SIP, IAX, XMPP, H.323"," G.711a, G.711u, GSM 06.10, iLBC, Speex, G.723, G.726, G.728, G.729"," SRTP, maybe ZRTP?",Unk,,6.0.0; 201709
Zfone,Windows,Viewable source,Includes time bomb provision," SIP, RTP",Unk," SRTP, ZRTP",Unk,,Beta 2008-09-04 (Windows 0.9.206)
