Standard or Revision,Network Compatibility
" GSM (1991), GPRS (2000), EDGE (2003)"," TDMA)"
cdmaOne (1995)," cdmaOne (2G, CDMA)"
" EV-DO (1999), Rev. A (2006), Rev. B (2006), SVDO (2011)"," TDMA)"
" HSPA+ (2009)"," UMTS (3G, CDMA)"
" LTE (2009, 3G), LTE Advanced (2011, 4G)",4G
" 5G NR (2018, 5G)",5G
