Name,Parsing algorithm,Input grammar notation,Boolean grammar abilities,Development platform,License
LuZc,delta chain,modular," Conjunctive, not complimentary ",POSIX,Proprietary
[http://sourceforge.net/p/bnf2xml/ bnf2xml],Recursive descent (is a text filter output is xml)," simple BNFOnly context-free grammars can be denoted in BNF.date=January 2018 grammar (input matching), output is xml ",?," Beta, and not a full EBNF parser "," Free, GNU GPL "
