Model,Launch,Micro-archi-tecture,Code name,Fab (nm),Bus interface,Clock rate,,Core config1,Fillrate,,Memory,,,,,Processing power(GFLOPS),,,,,,,API compliance (version),,,,TDP (Watts),Notes
,,,,,,Core (MHz),Memory (MHz),,Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),,,Bus type,Bus width (bit),,,,,,Single precision,Double precision,Direct3D,OpenGL,OpenCL,,,Vulkan
FirePro W2100,August 13, 2014",GCN 1st gen,Oland XT,28,PCIe 3.0 x8,630,900,320:20:8:5,5.04,12.6,2,28.8,,,DDR3,128,,,,,,403.2,25.5,11.2a/12.0,4.5,2.0 (new),1.0,<26,Two Standard DisplayPort DP 1.2a outputs
FirePro W4100,,,Cape Verde,,PCIe 3.0 x16,630,1125,512:32:16:8,10.08,20.16,,72,,,GDDR5,,,,,,,645.1,40.3,,,,,<50,Four Standard Mini-DP 1.2a outputs
FirePro W5100,,GCN 2nd gen,Bonaire Pro,,,930,1500,768:48:16:12,14.88,44.64,4,96,,,,,,,,,,1430,89.2,11.2b/12.0,,2.0,,<75,DirectGMA, GeometryBoost, 4 DP 1.2a, including Adaptive-Sync and HBR2"
FirePro W7100,,GCN 3rd gen,Tonga Pro GL,,,920,1400,1792:112:32:28,29.4,103,8,160,,,,256,,,,,,3297,206,,,,1.1,<150,
FirePro W8100,"June 26, 2014",GCN 2nd gen,Hawaii Pro GL,,,824,1250,2560:160:64:40,52.7,145,,320,,,,512,,,,,,4218.9,2109.45,,,,1.0,220,"ECC RAM, 4 DP + SDI-Link"
FirePro W9100,"March 26, 2014",,Hawaii XT,,,930,1250,2816:176:64:44,59.5,163.7,1632,320,,,,,,,,,,5237.8,2618.9,,,,,2.0,275,"ECC RAM, Six Mini DP + SDI-Link "
