Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
[https://man.openbsd.org/acx.4 acx]," 802.11a, 802.11b, 802.11g",PCI,Yes,No,No,Yes,Yes,Yes
[https://man.openbsd.org/an.4 an],802.11b," PCI, ISA",Yes,No,No,Yes,No,Yes
[https://man.openbsd.org/ath.4 ath]," 802.11a, 802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,Yes,Yes
[https://man.openbsd.org/athn.4 athn]," 802.11a, 802.11b, 802.11g, 802.11n"," PCI-E, Mini PCIE",Yes,Yes,Yes,Yes,Yes,No
[https://man.openbsd.org/atu.4 atu],802.11b,USB,Yes,No,No,No,No,Yes
[https://man.openbsd.org/atw.4 atw],802.11b,PCI,No,No,No,No,No,Yes
[https://man.openbsd.org/bwi.4 bwi]," 802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/OpenBSD-6.0/cnw.4 cnw],N/A,PC Card,No,No,No,No,No,No
[https://man.openbsd.org/ipw.4 ipw],802.11b,PCI,Yes,Yes,Yes,Yes,No,Yes
[https://man.openbsd.org/iwi.4 iwi]," 802.11a, 802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,No,Yes
[https://man.openbsd.org/iwn.4 iwn]," 802.11a, 802.11b, 802.11g, 802.11n"," PCI-E, Mini PCIE",Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/iwm.4 iwm]," 802.11a, 802.11b, 802.11g, 802.11n"," PCI-E, Mini PCIE",Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/malo.4 malo]," 802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/otus.4 otus]," 802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/pgt.4 pgt]," 802.11a, 802.11b, 802.11g",PCI,Yes,No,No,Yes,Yes,Yes
[https://man.openbsd.org/ral.4 ral]," 802.11a, 802.11b, 802.11g"," PCI, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
[https://man.openbsd.org/OpenBSD-5.4/ray.4 ray],N/A,PC Card,No,No,No,No,No,Yes
[https://man.openbsd.org/rtw.4 rtw],802.11b,PCI,Yes,No,No,Yes,Yes,Yes
[https://man.openbsd.org/rtwn.4 rtwn]," 802.11b, 802.11g",Mini PCIE,Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/rum.4 rum]," 802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
[https://man.openbsd.org/run.4 run]," 802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/uath.4 uath]," 802.11a, 802.11b, 802.11g",USB,Yes,No,No,Yes,No,No
[https://man.openbsd.org/upgt.4 upgt]," 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/ural.4 ural]," 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
[https://man.openbsd.org/urtw.4 urtw]," 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/urtwn.4 urtwn]," 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/wi.4 wi],802.11b," PCI, USB",Yes,No,No,No,Yes,Yes
[https://man.openbsd.org/wpi.4 wpi]," 802.11a, 802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,No,No
[https://man.openbsd.org/zyd.4 zyd]," 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
