Company,Software,On-demand scan,On-access scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email Security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
align=leftAvast,Avast Mac Security,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Proprietary,Free,2012,Czech Republic,
align=leftAvira Operations,Avira Free Mac Security,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Proprietary,Free,2011,Germany,
align=leftBitdefender,Bitdefender Antivirus for Mac,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2011,Romania,
align=leftCisco,Clam AntiVirus,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,GPL-lic,Free,2000,United States,
align=leftComodo Group,Comodo Mac Security,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Proprietary,Free,2012,United States,
align=leftDr. Web,Dr. Web Anti-virus for Mac OS X,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Trialware,2012,Russia,
align=leftESET,ESET Cyber Security,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2011,Slovakia,
align=leftESET,ESET Cyber Security Pro,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Proprietary,Nonfree,2013,Slovakia,
align=leftF-Secure,F-Secure Anti-Virus for Mac,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2008,Finland,Third-party antivirus engine (F-PROT)
align=leftIntego,VirusBarrier,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Proprietary,Nonfree,1997,United States,
align=leftIntego,Mac Internet Security,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2000,United States,
align=leftKaspersky Lab,Kaspersky Internet Security,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Proprietary,Nonfree,2010,Russia,Banned by USG
align=leftQuick Heal,Quick Heal Total Security for Mac,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,1995,India,GoDeep.AI engine,
Malwarebytes,Malwarebytes for Mac,Yes,No,,,No,No,No,No,Yes,No,Yes,,,Free,2006,United States,4 vulnerabilities found by Project Zero in 2016
align=leftPanda Security,Panda Antivirus for Mac,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2008,Spain,
align=leftSophos,Sophos Anti-Virus for Mac,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Proprietary,Free,2010,United Kingdom,
align=leftSymantec,Symantec Endpoint Protection,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2012,United States,
align=leftSymantec,Norton Security Standard for Mac,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2012,United States,
align=leftTrend Micro,Titanium Internet Security for Mac,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2011,Japan,
align=leftWebroot,SecureAnywhere AntiVirus,Yes,Yes,No,No,No,No,No,No,No,Yes (only in Apple Safari),Yes,Yes,Proprietary,Trialware,2012,United States,
align=leftWebroot,SecureAnywhere Internet Security Plus and Complete,Yes,Yes,No,No,No,No,No,No,No,Yes (only in Apple Safari),Yes,Yes,Proprietary,Trialware,2012,United States,
Company,Software,On-demand scan,On-access scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email Security,AntiSpam,Web protection,Live-Update,Support,License,Price,First release,Country of origin,Notes
