" width=""10%"" Feature"," width=""10%"" Android"," width=""10%"" iOS"," width=""10%"" Tizen"," width=""10%"" Sailfish OS"," width=""10%"" Ubuntu Touch"
Non-intrusive incoming calls,5+ or 3rd party software,14+,No,No,?
Non-intrusive notifications,Yes,5+,?,?,?
Move apps to external storage,2.2+,External storage not allowed for apps,No,No,No
Remote Frame Buffer (RFB) protocol,Yes,3rd party software,?,?,?
Screencast on device,"No2 No, 3rd party software like LineageOS ScreenCast, AOKP or OmniROM",9+,No,No,Yes
Screencast over USB,"4.4+ over USB,",8+: on OS X,No,?,No
Screen share,On select devices using vendors implementation,3rd party software,No,No,No
