,Language,License,Mutual auth,Encrypts,Verify mode,Agent-less,Have a GUI,First release,Latest stable release
Ansible,Python,GPLv3+,yes,yes,yes,yes,yes,2012-03-08,2020-03-05 2.9.6
Bcfg2,Python,BSD 2-clause,yes,yes,yes,no,yes,2004-08-11,2015-06-11 1.3.6
Capistrano,Ruby,MIT License,,yes,,yes,no,2005,2017-03-08 4.4.2
cdist,Python,GPLv3+,yes
Chef," Ruby, Erlang",Apache 2.0,yes,yes,yes,no,yes,2009-01-15 0.5.0," 2019-01-28 14.10.9 (client), 2018-02-13 12.17.33 (server)"
CFEngine,C,GPLv3,yes,yes,no,yes,1993,"  2020-06-23 3.16.0, 2020-06-02 3.15.2, 2020-06-02 3.12.5"
ISconf,Python,GPL,yes,no,,,,1998,2006-08-13 4.2.8.233
Juju," Python, Go",Affero General Public License,yes,2010-09-17,2020-06-04 2.8.0
Local ConFiGuration system (LCFG),Perl,GPL,partial,partial,no,no,no,1994,Weekly Releases
NOC,Python,BSD License 2.0,yes
OCS Inventory NG with GLPI," Perl, PHP, C++",GPL,no,yes
Open pc server integration (Opsi)," Python, Java",GPL,no,yes,,no,,2004,2013-03-01 4.0.3
PIKT,C,GPLv2+,yes,yes,,no,,1998,2007-09-10 1.19.0
Puppet," Ruby, C++  ; Clojure (server-side also Ruby before 4.0)"," Apache since 2.7.0, GPL before then",yes,yes,no,yes,2005-08-30," 2020-06-03 6.16.0 (client), 2020-06-03 6.12.0 (server)"
Quattor," Perl, Python",Apache 2.0,yes,yes,,,,2005-04-01,2018-07-3 18.6.0
Radmind,C,BSD,yes,yes,,no,,2002-03-26,2008-10-08 1.13.0
Rex,Perl,Apache,yes,2017-12-03 1.6.0
Rudder," C, Scala and Rust",GPLv3 and Apache 2.0,yes,no,yes,2011-10-31,2019-05-12 5.0.15
SmartFrog,Java,LGPL,yes,yes
Salt,Python,Apache 2.0,yes,yes,yes,2011-03-17 0.6.0,2019-02-25 v2019.2.0
Spacewalk," Java (C, Perl, Python, PL/SQL)",GPLv2,yes,yes,,no,,2008-06,2019-01-14 2.9
STAF,C++,CPL,no,partial,,no,,1998-02-16,2012-12-16 3.4.16
Synctool,Python,GPLv2,yes,yes,yes,,2003,2019-08-11 6.3
,Language,License,Mutual auth,Encrypts,Verify mode,Agent-less,Have a GUI,First release,Latest stable release
