",Creator,Latest release date,Current stable version,Programming language,License
"!,WordPress Foundation,2019-09-04,5.2.3,PHP,GPL
"!,Project Beehive Forum Developers,2016-11-05,1.5.2,PHP,GPL
"!," Civilized Discourse Construction Kit, Inc.",2019-11-06,2.3.6," Ruby, JavaScript",GPL
"!,Comsenz Inc.,2018-01-01,X3.4,PHP," Discuz! EULA (proprietary, gratis for non-commercial use)"
"!,FluxBB.org Developers,2018-12-31,1.5.11,PHP,GPL
"!,Advanced Internet Designs Inc.,2018-04-09,3.0.9,PHP,GPL
"!,Matt Mecham (original creator) Joshua Johnson,2012-10-19,3.1.5A,Perl,Proprietary
"!,Invision Power Services Inc.,2019-06-12,4.4.4,PHP,Proprietary
"!,MyBB Group,2019-06-10,1.8.21,PHP," LGPL, moving to BSD in 2.0"
"!,Brian Moon,2017-08-23,5.2.23,PHP,Phorum License 2 (BSD like)
"!,phpBB Ltd.,2019-05-05,3.2.8,PHP,GPL
"!,PunBB,2015-10-14,1.4.4,PHP,GPL
"!,Simple Machines,2017-11-19," 2.0.15",PHP,BSD License
"!,Anonymous (related to I2P),2014-08-14,1.107b,Java," Open source, multiple licenses"
"!," Joel Oliveira, Gleb Mazovetskiy, et al.",2019-08-17,0.16.13,Ruby,MIT
"!,Vanilla Forums,2019-03-15,2.8.1,PHP,Proprietary/GPL
"!,vBulletin Solutions Inc.,2019-05-14,5.5.2,PHP,Proprietary
"!," XenForo Limited, Kier Darby, Mike Sullivan.",2019-11-06,2.1.5,PHP,Proprietary
,Creator,Latest release date,Current stable version,Programming language,License
