BitTorrent client,Cache,Hash Web seeding,HTTP Web seeding,Broad-catching (RSS),Prioritization,Selective downloads,Sequential downloading,SOCKS,Tracker exchange,Remote control via web,Search engine,Auto updates,Reviews and Comments,Notes
BitComet,yes,no,yes,beta,yes,yes,yes,yes,no,yes,Built-in Web browser,yes,no,Portable version available
BitLord,yes,no,Partial,yes,yes,yes,no,yes,no,no,Built-in Web browser,yes,no,
" BitTorrent 5, Mainline",no,yes,Partial,no,yes,yes,no,no,no,no,yes,yes,no,
BitTorrent 6,yes,yes,,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,
Deluge,yes,yes,Partial,yes2 Plugin,yes,yes,yes,yes,no,yes,no,yes2 via PMS,no,
FlashGet,no,no,,no,no,no,no,no,no,no,no,no,no,FlashGet (standalone application) is not FlashGot (Firefox Addon)
Free Download Manager,no,yes,no,no,yes,yes,no,no,no,yes,no,Optional,no,
KTorrent,yes,yes,,yes,yes,yes,yes,yes,no,yes,Built-in Web browser,yes2 via PMS,no,
LimeWire,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,
MLDonkey,yes,no,,3rd party bash script,yes,no,no,no,no,yes,Built-in Web browser,yes2 via PMS,no,
μTorrent,yes,yes,Partial,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,
Opera 12,no,no,,group=NoteOperaRSS,no,no,no,no,no,no,built-into Web browser,Windows and Mac OS X only; via PMS on Linux,no,Web browser
qBittorrent,yes,yes,Partial,yes,yes,yes,yes,yes,hard-coded as disabled in newer versions,yes,yes,yes2 via PMS,no,
rTorrent,partial,no,no,3rd party utility,yes,yes,no,no,no,yes,no,yes2 via PMS,no,No built-in disk cache but a delayed sync
Shareaza,yes,yes,no,no,yes,yes,in mod client,no,yes,yes,yes,yes,no,
Tixati,yes,yes,Partial,yes,yes,yes,yes,yes,yes,yes,no,yes,no," lightweight client, Portable version available, option to keep all peers unchoked available Integral encrypted chatrooms that allow streaming audio and video, link sharing and searching"
Tonido,no,no,,no,yes,yes,no,no,no,yes,no,yes,no,
Transmission,yes,no,Partial,no,yes,yes,no,no,no,yes,no,yes,no,
Tribler,yes,no,no,yes,yes,yes,no,no,no,partial,yes (DHT),yes,no,Fully distributed keyword search; integrated anti-spam measures
Vuze (formerly Azureus),yes,,yes,yes,yes,yes,yes2 in paid version,yes,no,yes2 Plugin,yes,yes,yes,The only client to bridge between i2p and the clearnet.
Xunlei,yes,no,,yes,yes,yes,yes,,,yes,no,yes,no,
BitTorrent client,Cache,Hash Web seeding,HTTP Web seeding,Broad-catching (RSS),Prioritization,Selective downloads,Sequential downloading,SOCKS,Tracker exchange,Remote control via web,Search engine,Auto updates,Reviews and Comments,Notes
