Linux Mint," Free, and nonfree",50781,dunno,APT,.deb,Ubiquity,yes,dunno,dunno
Mageia," Free, and nonfree"," 17283 (i586), 11409 (x86-64)",8834," urpmi, rpmdrake",RPM,DrakX,yes,yes,dunno
Mandriva Linux," Free, and nonfree",22600,dunno," urpmi, rpmdrake",RPM,DrakX,yes,dunno,dunno
Manjaro Linux," Free, and nonfree",dunno,dunno from AUR,yes,yes,iPXE
MEPIS," Free, and nonfree",20000,dunno,APT,.deb,MEPIS Install,yes,dunno,dunno
Musix GNU+Linux,Free only,1819,dunno,APT,.deb,Debian-Installer,yes,no,no
OpenELEC," Free, and nonfree",140,dunno," XBMCbuntu addon manager, own and 3rd party addons",.zip,,yes,dunno,dunno
openSUSE," Free, and nonfree",34000,34000," YaST, Zypper",RPM,YaST,yes,yes,dunno
OpenWrt," Free, and nonfree",2000,dunno,opkg,.ipk,-,no,dunno,dunno
Parabola GNU/Linux-libre,Free only,23000,dunno,Pacman,.pkg.tar.xz,None (third-party install scripts only) or Calamares,yes,yes,dunno
Pardus," Free, and nonfree",4000,dunno,PiSi,.pisi,YALI,yes,dunno,dunno
Parsix," Free, and nonfree",29000,14900,APT,.deb,,yes,dunno,dunno
PCLinuxOS," Free, and nonfree",12000,dunno," APT, RPM",RPM,,yes,dunno,dunno
Puppy," Free, and nonfree",700,dunno," PupGet, DotPup",".pup, .pet",,yes,dunno,dunno
Red Hat Enterprise Linux," Free, and nonfree",3000 (plus 9155 from EPEL),dunno," RPM, yum",RPM,Anaconda,yes,dunno,dunno
Rxart," Free, and nonfree",5000,dunno,APT,.deb,,yes,dunno,dunno
Sabayon Linux," Free, and nonfree",13130prefix=>,dunno," Portage, Entropy"," ebuild, .tbz2",Calamares,yes,dunno,dunno
Scientific," Free, and nonfree",dunno,dunno,APT/yum,RPM,,yes,dunno,dunno
Slackware," Free, and nonfree",2292,7705 from SlackBulids,slackpkg," tgz, .txz, .tlz, .tbz",[http://ponce.cc/slackware/testing/slackware-setup-scripts/ bash script],no,yes,yes
Slax," Free, and nonfree",2050,dunno,none,.lzm,,,dunno,dunno
SliTaz GNU/Linux," Free, and nonfree",3381,dunno,Tazpkg,.tazpkg,tazinst,yes,iPXE,iPXE
Solus," Free, and nonfree",9500,dunno,eopkg,.eopkg,os-installer,yes,no,no
Source Mage GNU/Linux," Free, and nonfree",118,8876,Sorcery Package Manager,src,,yes,dunno,dunno
SUSE Linux," Free, and nonfree",24094,11385," YaST, Zypper",RPM,YaST,yes,dunno,dunno
Tiny Core Linux," Free, and nonfree",25160,dunno," ab, tce-load",tcz," tc-install, core2usb",yes,dunno,dunno
Tiny SliTaz," Free, and nonfree",50,dunno,Web site,tazpkg,,no,dunno,iPXE
Tor-ramdisk," Free, and nonfree",dunno,dunno,none,none,,no,dunno,dunno
Trisquel,Free only,52748,dunno,APT,.deb,Ubiquity,yes,yes,dunno
TurnKey GNU/Linux," Free, and nonfree",57290 plus ≈30 custom packages," 21041From the Sources.gz files in the [http://httpredir.debian.org/debian/dists/jessie/main/source/Sources.gz main], [http://httpredir.debian.org/debian/dists/jessie/contrib/source/Sources.gz contrib] and [http://httpredir.debian.org/debian/dists/jessie/non-free/source/Sources.gz non-free] sections of Debian Jessie. On the 2015-11-21, Debian Sid, the development release, have 24757 source packages. (currently TurnKey only supplies source code for custom packages)",APT,.deb,DI-Live (custom fork of Debian Installer),no,no,no
"!  Ubuntu, Kubuntu, Xubuntu"," Free, and nonfree",88367," 24474From the Sources.gz files in the [https://web.archive.org/web/20151122065828/http://archive.ubuntu.com/ubuntu/dists/wily/main/source/Sources.gz main],[https://web.archive.org/web/20151122064308/http://archive.ubuntu.com/ubuntu/dists/wily/universe/source/Sources.gz universe], [https://web.archive.org/web/20151122040605/http://archive.ubuntu.com/ubuntu/dists/wily/multiverse/source/Sources.gz multiverse] and [https://web.archive.org/web/20151122033824/http://archive.ubuntu.com/ubuntu/dists/wily/restricted/source/Sources.gz restricted] sections of Ubuntu Wily.",APT,.deb,Ubiquity,yes,yes,PXE
Ututo,Free only,5000,dunno,UTUTO Package Manager,ebuild,dunno,dunno,no,no
Vector Linux," Free, and nonfree",dunno,dunno," slapt-get, gslapt, installpkg",tgz,,yes,dunno,dunno
Void Linux," Free, nonfree and multilib",6000,6719,xbps,.xbps,ncurses script,yes,yes,no
XBMC Live," Free, and nonfree",dunno,dunno,APT,.deb,,no,dunno,dunno
Zentyal," Free, and nonfree",dunno,dunno,APT,.deb,dpkg,yes,dunno,dunno
Zenwalk," Free, and nonfree",2000,dunno," netpkg, installpkg, upgradepkg"," tgz, txz",,yes,dunno,dunno
Distribution,Free software repositories,abbr="Packages"  Approximate number of pre-compiled packages,abbr="Source packages"  Approximate number of source packages,Default package management tools,abbr="Format"  Package format,Default installer,abbr="Graphical installation"  Graphical installation process,Netinstall,Netboot
