00000Server OS support,,,00000Features,,,,,,,,,,,,| {{sort|00000|Storage}},,| {{sort|00000|Users}}
" class=""filterable""Mail server",Linux/ Unix,Windows,Mac OS,SMTP,POP3,IMAP,JMAP,IMAP IDLE,TLS,POP over TLS,IPv6,SSL,DANE,Webmail,ActiveSync,Sieve,Database,Filesystem,Other,IDN/UTF8,License
agorum core,yes,yes,no,yes,no,yes,dunno,no,no,no,no,yes,no,yes,no,no,yes,no,no,Dunno,GPLv2
Apache James,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Dunno,yes,dunno,no,no,yes,yes,yes,no,Dunno,ASLv2
Axigen,yes,yes,no,yes,yes,yes,dunno,yes,yes,yes,yes,yes,dunno," Ajax, Basic  ; Mobile",yes,yes," Proprietary, Embedded, Optimized for Email  ; Groupware",yes,yes,yes," Proprietary (free version: 5 domains, 5 users, 5 groups)"
Citadel,yes,no,yes,yes,yes,yes,dunno,no,yes,yes,yes,yes,dunno,yes,no,yes,yes,no,no,Dunno,GPLv3
CommuniGate Pro,yes,yes,yes,yes,yes,yes,dunno,yes,yes,yes,yes,yes,dunno,yes,yes,dunno,yes,yes,yes,yes,Proprietary (Free for up to 5 users)
Courier Mail Server,yes,no,yes,yes,yes,yes,dunno,yes,yes,yes,yes,yes,no,yes,no,maildrop,no,maildir,no,yes,GPLv3
Cyrus IMAP,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,dunno,no,no,yes,yes (indexes),yes,yes,Dunno,4-clause BSD
Dovecot,yes,no,yes,yes,yes,yes,dunno,yes,yes,yes,yes,yes,dunno,no,no,yes,yes," maildir, mbox, dbox",no,no,Mixed: MIT and LGPL 2.1
Eudora Internet Mail Server,no,no,yes,yes,yes,yes,dunno,dunno,no,no,dunno,no,dunno,no,no,dunno,no,no,yes,Dunno,Proprietary
Exim,yes,yes (via Cygwin),yes,yes," Dovecot, UW IMAP"," Dovecot, UW IMAP",dunno," Dovecot, UW IMAP",yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,GPLv2+
FirstClass,yes,yes,yes,yes,yes,yes,dunno,dunno,yes,yes,Dunno,yes,dunno,yes,yes,dunno,yes,yes,yes,Dunno,Proprietary
Gordano Messaging Suite,yes,yes,no,yes,yes,yes,dunno,yes,yes,yes,Dunno,yes,dunno,yes,yes,no,yes,yes,yes,Dunno,Proprietary
GroupWise,yes,yes,no,yes,yes,yes,dunno,dunno,yes,yes,Dunno,yes,dunno,yes,yes,dunno,yes,no,no,Dunno,Proprietary
Halon,yes,no,no,yes,no,no,dunno,no,yes,no,yes,yes,yes,no,no,dunno,yes,yes,yes,yes,Proprietary
Haraka,yes,yes,yes,yes,no,no,dunno,no,yes,no,yes,yes,dunno,no,no,dunno,yes,yes,yes,yes,MIT
hMailServer,no,yes,no,yes,yes,yes,dunno,yes,yes,yes,yes,yes,dunno,yes,no,dunno,yes,yes,no,no,GNU AGPL
IBM Lotus Domino,yes,yes,no,yes,yes,yes,dunno,no,yes,yes,yes,yes,no,yes,no,dunno,yes,no,no,no,Proprietary
IceWarp Mail Server,yes,yes,yes,yes,yes,yes,dunno,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,Dunno,Proprietary
Ipswitch IMail Server,no,yes,no,yes,yes,yes,dunno,yes (since v12.2),yes,yes,Dunno,yes,dunno,yes,yes,dunno,no,yes,no,Dunno,Proprietary
Kerio Connect,yes,Yes,Yes,yes,yes,yes,dunno,yes,yes,yes,yes,yes,dunno,yes,yes,yes,no,yes,no,Dunno,Proprietary
Kolab,yes,no,no,yes,yes,yes,dunno,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Dunno,GPLv3
Kopano,yes,yes,yes,External,yes,yes,dunno,yes,External
Mailsite,no,yes,no,yes,yes,yes,dunno,dunno,yes,yes,Dunno,yes,dunno,yes,yes,yes,yes,yes,yes,Dunno,Proprietary
Mailtraq,no,yes,no,yes,yes,yes,dunno,yes,yes,yes,Dunno,yes,dunno,yes,no,dunno,yes,yes,yes,Dunno,Proprietary
MDaemon,no,yes,no,yes,yes,yes,dunno,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,Not IMAP,Proprietary
Mercury Mail Transport System,no,yes,no,yes,yes,yes,dunno,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,Proprietary donationware
Microsoft Exchange Server,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes2 3rd Party support,yes,yes,yes,Not IMAP,Proprietary
NetMail,yes,yes,no,yes,yes,yes,dunno,dunno,yes,yes,dunno,yes,dunno,yes,no,dunno,yes,no,no,Dunno,Proprietary
OpenSMTPD,yes,no,yes,yes,no,no,dunno,no,yes,no,yes,yes,no,no,no,dunno,possible through custom backends,yes,no,no,ISC
Open-Xchange,yes,no,no,yes,yes,yes,dunno,dunno,yes,yes,dunno,yes,dunno,yes,yes,dunno,yes,no,no,Dunno," Proprietary/SaaS, with open-source parts"
Oracle Communications Messaging Server,yes,no,no,yes,yes,yes,dunno,dunno,yes,yes,dunno,yes,dunno,yes,no,dunno,yes,yes,no,yes,Proprietary
Postfix,yes,no,yes,yes," Dovecot, UW IMAP"," Dovecot, UW IMAP",dunno," Dovecot, UW IMAP",yes,no,Yes,yes,yes,no,no,no,yes,yes,yes,yes,IBM Public License
qmail,yes,no,yes,yes,yes," Dovecot, UW IMAP",dunno," Dovecot, UW IMAP",no," Dovecot, UW IMAP",via Qsmtp,no,no,no,no,dunno,(cdb),yes,no,Dunno,Public domain
Qpopper,yes,yes (via Cygwin),yes,no,yes,no,dunno,no,no,yes,dunno,yes,dunno,no,no,dunno,no,yes,yes,Dunno," [http://www.eudora.com/products/unsupported/qpopper/license.html BSD-style], GPL-incompatible"
Scalix,yes,dunno,dunno,yes,yes,yes,dunno,yes,yes (via Stunnel),yes (via Stunnel),dunno,yes (via Stunnel),dunno,yes,yes,dunno,yes,yes,no,Dunno," Proprietary with OSS parts, a community (Freeware) and 3 paid editions (SMB, Enterprise, Hosting)"
Sendmail,yes,no,yes,yes," Dovecot, UW IMAP"," Dovecot, UW IMAP",dunno," Dovecot, UW IMAP",yes,no,yes,yes,dunno,no,no,no,Dunno,yes,dunno,yes,[http://ftp.sunet.se/pub/unix/mail/sendmail/LICENSE Sendmail License]
SparkEngine,yes,yes,yes,yes,no,no,dunno,no,yes,no,Dunno,yes,dunno,no,no,dunno,yes,yes,yes,Dunno,Proprietary
