,,| Model,| Features,,,,,,,
,,,! Scalable Link Interface (SLI),[[PureVideo]] 2 with VP2
Engine: (BSP and 240 AES),[[PureVideo]] 4 with VP4 Engine
GeForce 210,no,no,"  rowspan=""3"" yes",,
GeForce GT 220,,,
GeForce GT 240,,,
GeForce GTS 250,yes3-Way (4-way for EVGA 285 Classified),yes,no
GeForce GTX 260,,,
GeForce GTX 260 Core 216,,,
GeForce GTX 260 Core 216 (55 nm),,,
GeForce GTX 275,,,
GeForce GTX 280,,,
GeForce GTX 285,,,
GeForce GTX 295,yes,,
