[ Name , , First release date 
, Latest stable release, , Latest stable release date , , Programming language , , Graphical toolkit , , License , , Notes
],
 2011 ,| 4.6.2 , 2020-05-27ref name=":0"/ , C JavaScript Python , GTK+ , GPL , Forked from GNOME 3 with the intent to create a traditional desktop built on modern technologies.,
 2015 ,| , 2019-07-19 , C++ , Qt , GPL , The desktop environment of Deepin.,
 1997 ,| 0.24.1, 2020-05-31ref name=":1" / , C , EFL , BSD license , Complete environment including centralized configuration of most settings.,
 2003-01-06 ,| 2.1 , 2014-06-22ref name=":2" / , C++ , FLTK , GPL LGPL , Seldom used environment has seen little activity in recent years. ,
 2006-02-22 ,| 0.4.2 , 2012-04-11 , Objective-C , GNUstep , MIT BSD license , Has seen little activity for several years the last journal entry having been in 2014. ,
 1999-03-03 ,| 3.36, 2020-03-11ref name=":3" /, C C++ Vala Python JavaScript , GTK+ , GPL LGPL , GNOME is one of the most popular environments. Major design changes with the 3.0 release sparked the creation of Cinnamon (a fork of GNOME 3) Unity (an alternative Gnome Desktop Session to GNOME Shell) and MATE (a fork of GNOME 2).,
 1998-07-12 ,| 5.19, 2020-06-09ref name=":4" /, C++ QML , Qt , LGPL , KDE has a strong and enthusiastic following. The project is largely community-centric and encompass many other applications and frameworks many built specifically for KDE.,
 2006 ,| 0.10.0, 2019-03-23ref name=":5" /, C , GTK+ , GPL LGPL , LXDE with its low resource footprint is a favorite among developers of lighter-weight Linux distributions. Development has largely moved to LXQt but it is still maintained.,
 2014-05-07 ,| 0.15.0, 2020-04-24ref name=":6" / , C C++ , Qt , GPL LGPL , Formed by a merger of LXDE-Qt and Razor-qt this is a lightweight Qt-based desktop environment.,
 2011-08-19 ,| 1.24, 2020-02-10ref name=":7" /, C C++ Python , GTK+ , LGPL GPL , Revival and continuation of GNOME 2 environment after the release of GNOME 3. In recent releases it has been ported to GTK+ 3 demonstrating the progress of the project.,
 2011,| , 2018-10-16 , Vala , GTK+ , GPL , The desktop environment of elementary OS.,
 2010 ,| 0.5.2, 2013-01-12 , C++ , Qt , GPL , merged into LXQt,
 2000 (?) ,| , 2011-10-09 , C Python , GTK+ , GPL,
 2010-04-29 ,| R14.0.8 , 2020-04-29ref name=":8" / , C++ , Qt , GPL (and other) , forked from KDE 3.x ,
 2010-06-09 ,| 7.5, 2016-05-25 , C C++ Python Vala QML , GTK+ , GPL LGPL , Developed by Canonical for Ubuntu as an alternative graphical shell to GNOME Shell. Designed with "convergence" in mind it was discontinued by Canonical in early 2017.,
 1996 ,| 4.14, 2020-01-12ref name=":9" /, C , GTK+ , GPL LGPL BSD license , XFCE is often used in lightweight distributions targeting lower-end hardware. ,
,
