,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
CHN,19,19,15,16,19,22,18,39,34,201
IND,3,2,4,5,5,7,5,7,6,44
JPN,3,2,3,4,4,4,7,6,2,35
IRN,1,3,1,-,1,-,1,-,3,10
PRK,-,2,-,-,-,1,-,-,-,3
ISR,-,-,-,1,-,1,-,-,-,2
KOR,-,-,1,-,-,-,-,-,-,1
Total,26,28,24,26,29,35,31,52,45,296
