,Range,Hash,Composite (Range+Hash),List,Expression,Round Robin
4th Dimension,dunno,dunno,dunno,dunno,dunno,dunno
ADABAS,dunno,dunno,dunno,dunno,dunno,dunno
Adaptive Server Enterprise,yes,yes,no,yes,dunno,dunno
Advantage Database Server,no,no,no,no,dunno,dunno
Altibase,yes,yes,no,yes,dunno,dunno
Apache Derby,no,no,no,no,dunno,dunno
ClustrixDB,yes,no,no,no,no,dunno
CUBRID,yes,yes,no,yes,dunno,dunno
IBM DB2,yes,yes,yes,yes,yes,dunno
Empress Embedded Database,no,no,no,no,dunno,dunno
EXASolution,no,yes,no,no,no,dunno
Firebird,no,no,no,no,dunno,dunno
HSQLDB,no,no,no,no,dunno,dunno
H2,no,no,no,no,dunno,dunno
Informix Dynamic Server,yes,yes,yes,yes,yes,yes
Ingres,yes,yes,yes,yes,dunno,dunno
InterBase,no,no,no,no,dunno,dunno
Linter SQL RDBMS,no,no,no,no,no,dunno
MariaDB,yes,yes,yes,yes,dunno,dunno
MaxDB,no,no,no,no,dunno,dunno
Microsoft Access (JET),no,no,no,no,dunno,dunno
Microsoft Visual Foxpro,no,no,no,no,dunno,dunno
Microsoft SQL Server,yes,via computed column,via computed column,yes,via computed column,dunno
Microsoft SQL Server Compact (Embedded Database),no,no,no,no,dunno,dunno
Mimer SQL,no,no,no,no,no,dunno
MonetDB,yes,no,no,no,yes,dunno
MySQL,yes,yes,yes,yes,dunno,dunno
OpenBase SQL,dunno,dunno,dunno,dunno,dunno,dunno
Oracle,yes,yes,yes,yes,via Virtual Columns,dunno
Oracle Rdb,yes,yes,dunno,dunno,dunno,dunno
OpenLink Virtuoso,yes,yes,yes,yes,yes,dunno
Pervasive PSQL,no,no,no,no,no,dunno
Polyhedra DBMS,no,no,no,no,no,dunno
PostgreSQL,yes,yes,yes,yes,yes,dunno
Raima Database Manager,yes1,yes1,yes1,no,dunno,dunno
RDM Server,no,no,no,no,dunno,dunno
SAP HANA,yes,yes,yes,yes,yes,dunno
solidDB,yes,no,no,no,dunno,dunno
SQL Anywhere,no,no,no,no,dunno,dunno
SQLite,no,no,no,no,dunno,dunno
Teradata,yes,yes,yes,yes,dunno,dunno
UniVerse,yes,yes,yes,yes,dunno,dunno
,Range,Hash,Composite (Range+Hash),List,Expression,Round Robin
