Driver,802.11,Bus interface,WEP,WPA,WPA2,Monitor mode,Master mode,Ad-Hoc mode
[http://dev.kewl.org/acx100+111/ acx]," 802.11a?, 802.11b, 802.11g"," PCI",Yes,?,?,?,?,Yes
[http://www.freebsd.org/cgi/man.cgi?query=an an],802.11b," PCI, ISA",Yes,?,?,?,?,Yes
[http://www.freebsd.org/cgi/man.cgi?query=arl ;manpath=FreeBSD+7.2-RELEASE arl],N/A,ISA,?,?,?,?,?,?
[http://www.freebsd.org/cgi/man.cgi?query=ath ath]," 802.11a, 802.11b, 802.11g, 802.11n"," PCI, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
[http://www.freebsd.org/cgi/man.cgi?query=awi ;manpath=FreeBSD+7.2-RELEASE awi],N/A,PC Card,?,?,?,?,Yes,Yes
[http://www.freebsd.org/cgi/man.cgi?query=bwi bwi]," 802.11b, 802.11g"," PCI",Yes,Yes,Yes,Yes,No,No
[http://www.freebsd.org/cgi/man.cgi?query=cnw ;manpath=FreeBSD+7.2-RELEASE cnw],N/A,Cardbus,?,?,?,?,?,?
[http://www.freebsd.org/cgi/man.cgi?query=ipw ipw],802.11b,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
[http://www.freebsd.org/cgi/man.cgi?query=iwi iwi]," 802.11a, 802.11b, 802.11g",Mini PCI,Yes,Yes,Yes,Yes,No,Yes
[http://www.freebsd.org/cgi/man.cgi?query=iwn iwn]," 802.11a, 802.11b, 802.11g, 802.11n",Mini PCI,Yes,Yes,Yes,Yes,No,No
[http://www.freebsd.org/cgi/man.cgi?query=malo malo]," 802.11b, 802.11g",PCI,Yes,Yes,Yes,Yes,No,No
[http://www.freebsd.org/cgi/man.cgi?query=mwl mwl]," 802.11a, 802.11b, 802.11g, 802.11n",PCI,Yes,Yes,Yes,Yes,Yes,No
[http://www.freebsd.org/cgi/man.cgi?query=ral ral]," 802.11a, 802.11b, 802.11g"," PCI, Mini PCI",Yes,Yes,Yes,Yes,Yes,Yes
[http://www.freebsd.org/cgi/man.cgi?query=ray ;manpath=FreeBSD+7.2-RELEASE ray],N/A,PC Card,?,?,?,No,No,Yes
[http://www.freebsd.org/cgi/man.cgi?query=rum rum]," 802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
[http://svn.freebsd.org/viewvc/base/stable/8/sys/dev/usb/wlan/if_run.c?view=log run]," 802.11a, 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
[http://www.freebsd.org/cgi/man.cgi?query=uath uath]," 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
[http://www.freebsd.org/cgi/man.cgi?query=upgt upgt]," 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
[http://www.freebsd.org/cgi/man.cgi?query=ural ural]," 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,Yes,Yes
[http://www.freebsd.org/cgi/man.cgi?query=urtw urtw]," 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
[http://www.freebsd.org/cgi/man.cgi?query=wi wi],802.11b," PCI",Yes,Yes (since 8.0),Yes (since 8.0),Yes (since 8.0?),Yes,Yes
[http://www.freebsd.org/cgi/man.cgi?query=wpi wpi]," 802.11a, 802.11b, 802.11g",Mini PCI,Yes,Yes,Yes,Yes,No,Yes
[http://www.freebsd.org/cgi/man.cgi?query=zyd zyd]," 802.11b, 802.11g",USB,Yes,Yes,Yes,Yes,No,No
