Model",Launch",Code name",Process",Transistors (billion)",Die size (mm2)",Core configname=CoreConfig",Bus Interface",L2 Cache (MB)",Clock speeds",,,Memory",,,,name=PerfValues",,Processing power (name=PerfValues",,,,TDP (Watts)",NVLink Support",Release price (USD)",
,,,,,,,,,Base core clock (MHz),Boost core clock (MHz),Memory (MT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Pixel (GP/s)name=PixelFillrate,Texture (GT/s)name=TextureFillrate,Single precision,Double precision,Half precision,Tensor compute + Single precision,,,MSRP",Founders Edition"
"!," December 7, 2017",GV100-400-A1,12FFN",21.1",815",5120:320:96:640 (80) (6),PCIe 3.0 x16",4.5,1200",1455",1700",12,652.8,HBM2",3072,153.6186.2",384.0465.6",12 ;thinsp;288.014 ;thinsp;899.2",6 ;thinsp;144.07 ;thinsp;449.6",24 ;thinsp;576.029 ;thinsp;798.4",110 ;thinsp;592.0134 ;thinsp;092.8",250",No,$2999,N/A
"!," June 21, 2018",GV-100-???-A1,,,,5120:320:128:640 (80) (6),,6,,,,32,870.4,,4096,,,,,,,,Yes,N/A ",
