Graphics,Launch,Market,Processor,Code name,Device id.,Core clock (MHz),Execution units,API support,,,Memory  bandwidth(GB/s),| [[Dynamic video memory technology|DVMT]] <br>([[Megabyte|MB]]),,| [[Intel Quick Sync Video|QSV]]
,,,,,,,,,![[Direct3D]],[[OpenGL]],,,,,[[OpenCL]]
HD Graphics,2011,Mobile,Celeron B7x0 Celeron 7x7Celeron 8x7Celeron B8xxPentium&nbsp;B9x0Pentium 9x7,Sandy Bridge,010A,350–1150,6(GT1),,10.1  FL10_1,3.1Windows  3.3macOS  3.3Linux  ES 3.0Linux,No,21.3,1720,{{No}}
,,Desktop,Celeron G4x0<br>Celeron G5x0<br>Celeron G530T<br>Pentium G6xx<br>Pentium G6x0T<br>Pentium G8x0,,,650–1100,,,,,,,,
HD Graphics 2000,,Desktop,Core i3-2102Core i3-21x0Core i3-21x0TCore i5-2xx0Core i5-2x00SCore i5-2xx0TCore i7-2600Core i7-2600S,,0102,| 650–1350,,,,,,,,| Yes
,,Workstation,Xeon E3-1260L,,,,,,,,,,,
HD Graphics 3000,,Mobile,Core i3-23x0ECore i3-23xxMCore i5-251xECore i5-2xxxMCore i7-2xxxQMCore i7-271xQECore i7-29x0XM,01160126,650–1300,| 12<br>(GT2),,,,,,,,
,,Desktop,Core i3-21x5Core i5-2405SCore i5-2500KCore i7-2x00K,| 0112<br>0122,850–1350,,,,,,,,,
HD Graphics P3000,,Workstation,Xeon E3-12x5,,850–1350,,,,,,,,,
