,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
Calligra Stage,2.4+," Windows, Unix-based systems",Calligra Suite,KDE Project,GPL / LGPL,yes,
IBM Lotus Symphony,1.0+," Windows, Linux, Mac OS X",IBM Lotus Symphony,IBM,Proprietary,yes,
IBM Workplace Documents,2.5+,Any (Web-based),IBM Workplace Collaboration Services,IBM,Proprietary,,no longer being actively marketed
KPresenter / KOffice Showcase,1.4+," Unix-based systems",KOffice,KDE Project,LGPL,no (not valid),
LibreOffice Impress,3.3.0," Windows, Unix-based systems, Solaris",LibreOffice,LibreOffice,LGPL,yes,
Microsoft Office PowerPoint,2007 SP2,Windows,Microsoft Office,Microsoft,Proprietary,yes,
NeoOffice Impress,1.2,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,,Import only
NeoOffice Impress,2.2.5,Mac OS X,NeoOffice,Patrick Luby and Edward Peterlin,GPL,yes,[http://neowiki.neooffice.org/index.php/NeoOffice_File_Formats]
OpenOffice.org Impress,2.0+," Windows, Unix-based systems, Solaris",OpenOffice.org,OpenOffice.org,LGPL,yes,
StarOffice Impress,8," Windows, Solaris",StarOffice,Sun Microsystems,Proprietary,yes,
Zoho Show,2006,Any (Web-based),Standalone,AdventNet,Proprietary,no (not valid),
,Version,Operating systems,Office suite,Developer,License,ISO/IEC 26300:2006,Notes
