Name,Author,First public release,Stable version,Cost,Software license,Based framework,Written in
AIMP,AIMP DevTeam,2006-08-08,Latest stable software release/AIMP,free,proprietary,BASS audio library (decoder),Delphi
Amarok,Mark Kretschmann,2003-06-01,Latest stable software release/Amarok,free,GPLv2," via Phonon: VLC, DirectShow, QuickTime",C++
Aqualung,Tom Szilagyi et al.,2006-01-01,0.9beta11 20130130,free,GPLv2 or later,,C
aTunes,Alex Aranda et al.,2006-01-01,Latest stable software release/aTunes,free,GPLv2,,Java
Audacious,Audacious Development Team,2005-10-30,Latest stable software release/Audacious,free,BSD,XMMS based," C, C++ (GTK+)"
Banshee,Aaron Bockover,2005-02-17,Latest stable software release/Banshee,free,MIT,GStreamer,C#
Clementine,Clementine Team,2011-03-01,Latest stable software release/Clementine,free,GPL,GStreamer,C++ (Qt)
cmus,Timo Hirvonen,2005-01-18,Latest stable software release/cmus,free,GPL,,C
Cog,Vincent Spader,2006-05-01,Latest stable software release/Cog,free,GPL,,Objective-C
Exaile,Adam Olsen,2006-05-24,Latest stable software release/Exaile,free,GPLv2 or later,GStreamer,Python (GTK+)
Ecoute,Louka Desroziers  ; Julien Sagot,2008-09,3.0.8,free (until version 4),proprietary,AV Foundation  ; QuickTime,Objective-C
Flash MP3 Player,Reality Software,2008-03-11,1.00,free,proprietary,,
foobar2000,Peter Pawlowski,2002-11-29,Latest stable software release/foobar2000,free," proprietary (core),BSD (SDK)",,C++
Guayadeque Music Player,Juan Rios,2009-03-12,0.4.5,free,GPL,GStreamer," C++ (wxWidgets, wxSqlite)"
iTunes,Apple Inc.,2001-01-09,Latest stable software release/iTunes,free,proprietary,QuickTime,dunno
JRiver Media Center," JRiver, Inc.",1999-02-01,Latest stable software release/JRiver Media Center,nonfree,proprietary,JRiver code,C++
JuK,Scott Wheeler,2003-02-01,Latest stable software release/JuK,free,GPL,,C++
MediaMonkey Standard,Ventis Media Inc.,2003-08-25,Latest stable software release/MediaMonkey,free,proprietary,," Delphi, C"
MediaMonkey Gold,Ventis Media Inc.,2003-08-25,Latest stable software release/MediaMonkey,nonfree,proprietary,," Delphi, C"
MediaMonkey Lifetime,Ventis Media Inc.,2003-08-25,Latest stable software release/MediaMonkey,nonfree,proprietary,,
Groove Music,Microsoft,2012,,free,proprietary,,
MPXPLAY,MPXPLAY,1998-01-01,Latest stable software release/Mpxplay,free,GPL,,C
Music on Console,Damian Pietras,2002-01-01,Latest stable software release/Music on Console,free,GPL,,C
Music Player Daemon,Warren Dukes,2003-05-01,Latest stable software release/Music Player Daemon,free,GPL,,C
MusicBee,Steven Mayall,2008-12-04,Latest stable software release/MusicBee,free,proprietary,BASS audio library,Visual Basic .NET
musikCube,Casey Langen,2005-01-01,Latest stable software release/musikCube,free,BSD,,
Napster,William Christopher Gorog,2003-10-01,Latest stable software release/Napster (pay service),nonfree,proprietary,,
Quod Libet,Quod Libet Team,2004-11-08,Latest stable software release/Quod_Libet_(software),free,GPL,GStreamer,Python (GTK) PyGTK
Rdio,Rdio Inc,date=August 2014,Microsoft Windows: 1.12.0.0 (2013) WP 8+ : 4.0.5.0 (df=yes20131028) iOS: 3.0.3 (df=yes20140927),Subscription,proprietary,,
Rhapsody,RealNetworks,2003-01-01,Latest stable software release/Rhapsody,Subscription,proprietary,,
Rhythmbox,Colin Walters,2004-04-01,Latest stable software release/Rhythmbox,free,GPL,GStreamer,C
Songbird,POTI Inc.,2006-02-08,Latest stable software release/Songbird,free,GPL,GStreamer
Sonic Visualiser," Centre for Digital Music at Queen Mary, University of London",," 3.1.1 (August 14, 2018)",free,GPLv2 or later,,
Sonique,Media Science,1998-11-01,1.96 (March 2002),free,proprietary,,
Spotify,Spotify LTD,2008,Latest stable software release/Spotify,Nonfree,proprietary,,
Style Jukebox,Digital Geek LTD,2009-07-01,Latest stable software release/Style Jukebox,free,proprietary,,C#
Winamp,Nullsoft," April 21, 1997",Latest stable software release/Winamp,free,proprietary,Wasabi,C/C++
XMMS,XMMS Team,1997-11-01,Latest stable software release/XMMS,free,GPL,original,C
XMPlay,Un4seen Developments,1998,3.8 (20131223),free,proprietary,original (based on the BASS audio library),
Name,Author,First public release date,Stable version,Cost,Software license,Based framework,Written in
