"," File Name "," File Contents "," Basic metadata search "," All metadata search ",RegExp for Contents,Boolean (nesting levels),"Fuzzy logic "," Save searches "," Refined searches "
Altap Salamander,yes,dunno,yes,dunno,yes,yes,dunno,yes,yes
Commander One,yes,yes," yes"," yes",yes,yes,dunno,no,no
CRAX Commander,yes,yes," yes",dunno,yes,yes,dunno,no,no
Directory Opus,yes,yes,yes,yes,yes,yes,yes,yes,yes
Dired,yes,dunno,no,no,yes,yes,yes,no,no
Documents by Readdle,,,,,,,,,
Dolphin,yes,dunno,yes,yes,yes,yes,dunno,dunno,yes
Double Commander,yes,yes,yes,yes,yes,yes,dunno,dunno,dunno
emelFM2,yes,dunno,yes,yes,dunno,dunno,dunno,partial,dunno
FAR Manager,yes,dunno,yes,yes," yes"," yes"," yes",yes,yes
File Commander,yes,no,yes,no,no,yes,no,yes,no
Files (Apple),,,,,,,,,
Files by Google,,,,,,,,,
Finder,yes,dunno,yes,yes,no,dunno,dunno,yes,dunno
ForkLift,yes,partial,yes,yes,yes,yes,dunno,no,no
Konqueror,yes,yes,yes,yes,yes,yes,no,yes,yes
Krusader,yes,dunno,yes,yes,yes,no,no,yes,yes
GNOME Files (Nautilus),yes,dunno," partial "," partial ",dunno,dunno,dunno,yes,dunno
Nemo,?,?,?,?,?,?,?,?,?
Nomad.NET,yes,yes,yes,yes,yes,yes,no,yes,yes
Path Finder,yes,dunno,yes,yes,no,no,dunno,no,no
PCManFM,yes,dunno,yes,no,yes,no,no,no,no
ROX-Filer,yes,dunno,yes,yes,yes,yes,dunno,no,dunno
Total Commander,yes,yes,yes,yes,yes,yes,no,yes," partial "
Windows Explorer,yes,no,yes,no,no,dunno,dunno,yes,yes
Xandros File Manager,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
Xfe,yes," yes",yes,no,no,no,no,no,no
Xfile,yes,no,yes,no,yes,yes,no,yes,yes
Xfm,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
xplorer²,yes,dunno,yes,yes,yes,yes,yes,yes,yes
XYplorer,yes,yes,yes,yes,yes,yes,yes,yes,yes
ZTreeWin,yes,yes,yes,partial,partial,yes,yes,yes,yes
"!," File Name "," File Contents "," Basic metadata search "," All metadata search ",RegExp for Contents,Boolean (nesting levels)," Fuzzy logic "," Save searches "," Refined searches   "
