License,Author,Latest version,Publication date,Linking,Distribution,Modification,Patent grant,Private use,Sublicensing,TM grant
,,,,,,,,,,
Academic Free License,Lawrence E. Rosen,3.0,2002,Permissive,Permissive,Permissive,yes,yes,Permissive,no
Affero General Public License,Affero Inc,2.0,2007,Copylefted,Copyleft except for the GNU AGPL,Copyleft,dunno,yes,dunno,dunno
Apache License,Apache Software Foundation,2.0,2004,Permissive,Permissive,Permissive,yes,yes,Permissive,no
Apple Public Source License,Apple Computer,2.0," 2003August 6, 2003 ",Permissive,dunno,Limited,dunno,dunno,dunno,dunno
Artistic License,Larry Wall,2.0,2000,With restrictions,With restrictions,With restrictions,no,Permissive,With restrictions,no
Beerware,Poul-Henning Kamp,42,1987,Permissive,Permissive,Permissive,no,Permissive,Permissive,no
BSD License,Regents of the University of California,3.0,dunno,Permissive,Permissive,Permissive,Manually,yes,Permissive,Manually
Boost Software License,dunno,1.0," 2003August 17, 2003 ",Permissive,dunno,Permissive,dunno,dunno,dunno,dunno
Creative Commons Zero,Creative Commons,1.0,2009,Public Domain,Public Domain,Public Domain,no,Public Domain,Public Domain,no
CC BY,Creative Commons,4.0,2002,Permissive,Permissive,Permissive,no,yes,Permissive,dunno
CC BY-SA,Creative Commons,4.0,2002,Copylefted,Copylefted,Copylefted,no,yes,no,dunno
CeCILL,CEA / CNRS / INRIA,2.1," 2005June 21, 2013 ",Permissive,Permissive,Permissive,no,Permissive,With restrictions,no
Common Development and Distribution License,Sun Microsystems,1.0," 2004-12December 1, 2004 ",Permissive,dunno,Limited,dunno,dunno,dunno,dunno
Common Public License,IBM,1.0,2001May 2001,Permissive,dunno,Copylefted,dunno,dunno,dunno,dunno
Cryptix General License,Cryptix Foundation,n/a,1995,Permissive,Permissive,Permissive,Manually,yes,dunno,Manually
Eclipse Public License,Eclipse Foundation,2.0," August 24, 2017 ",Limited,Limited,Limited,yes,yes,Limited,Manually
Educational Community License,Indiana University,1.0,2007,Permissive,dunno,Permissive,dunno,dunno,dunno,dunno
European Union Public Licence,European Commission,1.2,2009May 2017," Copylefted, with an explicit compatibility list "," Copylefted, with an explicit compatibility list ",yes," Copylefted, with an explicit compatibility list ",no
GNU Affero General Public License,Free Software Foundation,3.0,2007,GNU GPLv3 only,Copylefted,Copylefted,No network usage,Copylefted,yes
GNU General Public License,Free Software Foundation,3.0,2007June 2007,GPLv3 compatible only,Copylefted,yes,Copylefted,yes
GNU Lesser General Public License,Free Software Foundation,3.0,2007June 2007,With restrictions,Copylefted,yes,Copylefted,yes
IBM Public License,IBM,1.0,1999August 1999,Copylefted,dunno,Copylefted,dunno,dunno,dunno,dunno
ISC license,Internet Systems Consortium,n/a,2003June 2003,Permissive,Permissive,Permissive,dunno,dunno,dunno,dunno
LaTeX Project Public License,LaTeX project,1.3c,dunno,Permissive,dunno,Permissive,dunno,dunno,dunno,dunno
Microsoft Public License,Microsoft,n/a,dunno,Permissive,Permissive,Permissive,no,Permissive,dunno,no
MIT license / X11 license,MIT,n/a,1988,Permissive,Permissive,Permissive,Manually,yes,Permissive,Manually
Mozilla Public License,Mozilla Foundation,2.0," 2012January 3, 2012 ",Permissive,Copylefted,Copylefted,yes,yes,Copylefted,no
Netscape Public License,Netscape,1.1,dunno,Limited,dunno,Limited,dunno,dunno,dunno,dunno
Open Software License,Lawrence Rosen,3.0,2005,Permissive,Copylefted,Copylefted,yes,yes,Copylefted,dunno
OpenSSL license,OpenSSL Project,n/a,dunno,Permissive,dunno,Permissive,dunno,dunno,dunno,dunno
Python Software Foundation License,Python Software Foundation,2,dunno,Permissive,dunno,Permissive,dunno,dunno,dunno,dunno
Q Public License,Trolltech,dunno,dunno,Limited,dunno,Limited,dunno,dunno,dunno,dunno
Sleepycat License,Sleepycat Software,n/a,1996,Permissive,With restrictions,Permissive,no,yes,no,no
Unlicense,unlicense.org,1,2010December 2010,Permissive/Public domain,Permissive/Public domain,Permissive/Public domain,dunno,Permissive/Public domain,Permissive/Public domain,dunno
W3C Software Notice and License,W3C,20021231," 2002December 31, 2002 ",Permissive,dunno,Permissive,dunno,dunno,dunno,dunno
Do What The Fuck You Want To Public License (WTFPL)," Banlu Kemiyatorn, Sam Hocevar ",2,2004December 2004,Permissive/Public domain,Permissive/Public domain,Permissive/Public domain,no,yes,yes,no
XCore Open Source Licensealso separate "Hardware License Agreement",XMOS,dunno,2011February 2011,Permissive,Permissive,Permissive,Manually,yes,Permissive,dunno
XFree86 1.1 License," The XFree86 Project, Inc ",dunno,dunno,Permissive,dunno,Permissive,dunno,dunno,dunno,dunno
zlib/libpng license,Jean-Loup Gailly and Mark Adler,dunno,dunno,Permissive,dunno,Permissive,dunno,dunno,dunno,dunno
