Distribution,Size of media (MB),RAM use (MB),Boots from CD,Boots from DVD,Installable live CD/DVD,Installable from USB
Arch Linux,742,,Yes,Yes,Yes,Yes
AUSTRUMI,301,,Yes,Yes,Yes,Yes
BLAG Linux and GNU,696,dunno,yes,no,dunno,
Bodhi Linux,1024,80,Yes,Yes,Yes,Yes
CentOS,603 (Minimal) 4096 (DVD),,Yes,Yes,Yes (installable since 6.0),Yes
Chakra,2150,,no,yes,yes,yes
Debian,958,,Yes,Yes,Yes,Yes
Devuan,868,,Yes,Yes,Yes,Yes
Dragora GNU/Linux-Libre,655,dunno,yes,dunno,dunno,dunno
dyne:bolic,1650,dunno,up to version 2.x,Yes,dunno,dunno
Fedora,1434,256 to 1024,Yes,Yes,Yes,Yes
Gentoo,260 (Minimal) 2048 (Live DVD),up to 128,Yes,Yes,Yes,Yes
gNewSense,1200,512,dunno,dunno,yes,dunno
Grml,460,32 to 128,Yes,No,Yes,Yes
Guix System,562,2084,no,yes,yes,Yes
Hyperbola GNU/Linux-libre,660 and 688,dunno,yes,yes,yes,yes
Knoppix CD,700,128 to 320,Yes,Yes,Only DVD edition is maintained,
Knoppix DVD,4813,128 to 500,No,Yes,,
LibreCMC,dunno,dunno,no,no,no,no
Mandriva Linux One,700,128 to 768,Yes,Yes,Yes,Yes
Manjaro Linux," 473 to 2,200",256 to 1024,Yes,Yes,Yes,Yes
MEPIS,700 to 4000,128 to 512,Yes,Yes,Yes,Yes
Musix GNU+Linux,2000,dunno,No,Yes,Yes,Yes
Nanolinux,18,64prefix=≈,Yes,Yes,Yes,Yes
openGEU,700,192 to 512,Yes,,Yes,
openSUSE (Not 42.1),700,128 to 768,Yes,Yes,Yes,Yes
OpenWrt,4prefix=min,16prefix=min,No,No,No,No
Parabola GNU/Linux-libre,400 to 3300,dunno,yes,yes,yes,yes
Pardus,1256 to 1276,256 to 1024,Yes,Yes,Yes,Yes
PCLinuxOS,130 to 700,96 to 512,Yes,Yes,Yes,Yes
Pentoo,666 and 700,48 to 96,Yes,Yes,By hand,By hand
Porteus,224 to 373,min 36,dunno,dunno,Yes,Yes
Puppy Linux (Slacko),235,32 to 192,Yes,Yes,Yes,Yes
Puredyne,542,,Yes,Yes,Yes,Yes
Sabayon Linux Live CD,695,,Yes,Yes,Yes,Yes
Sabayon Linux Live DVD,2400,,no,Yes,Yes,Yes
Scientific Linux,431 to 2300,640,Yes,Yes,Yes,Yes
Slackware,2600,64 to 1024,Yes,Yes,Yes,Yes
Slax,200,96 to 320,Yes,Yes,,Yes
Solus,1200,1024,No,Yes,Yes,Yes
SystemRescueCD,459,,Yes,Yes,Yes,Yes
SliTaz GNU/Linux,50,48 to 256,Yes,Yes,Yes,Yes
Tails,900prefix=≈,1024prefix=≈,No,Yes,Yes,Yes (when run from DVD)
Tiny Core Linux,16,46,Yes,Yes,Yes,Yes
Tiny SliTaz,1.44,4,Yes,Yes,By SliTaz,By SliTaz
Trisquel," 1,500",384,Yes,Yes,Yes,Yes
TurnKey GNU/Linux Core (base) appliance ISO,212,173prefix=~,Yes,Yes,Yes,Yes
Ubuntu," 1,700",384,Yes,Yes,Yes,Yes
Ututo,3500,dunno,No,Yes,Yes,dunno
Edubuntu," 2,900",,Yes,Yes,Yes,
Kubuntu," 1,400",384,Yes,Yes,Yes,Yes
XBMC Live,700,256 to 1024,Yes,no,Yes,Yes
Zentyal,600,256,Yes,Yes,Yes,Yes
Xubuntu,1200,256,Yes,Yes,Yes,Yes
Distribution,Size of media (MB),RAM use (MB),Boots from CD,Boots from DVD,Installable live CD/DVD,Installable from USB
