HTML5 standard,HTML web browser features,AIR features
Date started,Work began in 2003  Working Draft as of 2011,n/a,Work began in 1996  Version 1 released in 1997
Desktop operating systems,n/a," AmigaOS, MorphOS, Apple macOS, Linux, Microsoft Windows","  Apple macOS,  Linux, Microsoft Windows"
Mobile operating systems,n/a,* Android 2.3 and newer * Apple iOS 6 and newer * Symbian Belle * BlackBerry OS 7 and 10 * Windows Phone 7 and newer
