Age range,England  ; Wales,,,Northern Ireland,,,| Scotland,,,style="border-left-width:3px" | American English,
,Name,Alternative/old name,Syllabus,Age range,Name,Syllabus,Age range,Name,Exam,Name,Alternative name
2–4,Preschool (optional),,,,,,,,,style="border-left-width:3px" |,
,Nursery,Playgroup,Foundation Stage 1,2–4,Play School,,2–4,Playgroup,,style="border-left-width:3px" | Daycare
3–5,Primary school,,,,,,,,,style="border-left-width:3px" |,
,Reception,Infants reception,Foundation Stage 2,4–5,Primary 1 (P1),Foundation Stage,4–5,P1,,Preschool,Pre-K
5–6,Year 1,Infants year 1,Key Stage 1,5–6,P2,,5–6,P2,,Kindergarten,
Elementary school,,,,,,,,,,
,6–7,Year 2,,Infants year 2,6–7,P3,Key Stage 1,6–7,P3,,style="border-left-width:3px" | 1st [[Educational stages#United States and Canada|grade]],
7–8,Year 3,First year Junior,Key Stage 2,7–8,P4,7–8,,P4,,2nd grade,
8–9,Year 4,Second year junior,,8–9,P5,Key Stage 2,8–9,P5,,3rd grade,
9–10,Year 5,Third year junior,,9–10,P6,,9–10,P6,,style="border-left-width:3px" | 4th grade,
10–11,Year 6,Fourth year junior,,10–11,P7,,10–11,P7,,style="border-left-width:3px" | 5th grade,
11–12,Secondary school / High school,,,,,,,,,style="border-left-width:3px" | [[Middle school#Canada and the United States|Middle school]],[[Junior high school#Canada and the United States|Junior high school]]
,Year 7,First form,Key Stage 3,11–12,First Form,Key Stage 3,11–12,S1,,6th grade,
12–13,Year 8,Second form,,12–13,Second Form,,12–13,S2,,style="border-left-width:3px" | 7th grade,
13–14,Year 9,Third form,,13–14,Third form,,13–14,S3,,style="border-left-width:3px" | 8th grade,
14–15,Year 10,Fourth form,"  Key Stage 4, GCSE",14–15,Fourth form,"  Key Stage 4, GCSE",14–15,S4,,High school,
,,,,,,,,,,style="border-left-width:3px" | 9th grade,Freshman year
15–16,Year 11,Fifth form,,15–16,Fifth form,,15–16,S5,Highers,style="border-left-width:3px" | 10th grade,Sophomore year
16–17,FE College,,,,,,,,,style="vertical-align:bottom;border-left-width:3px" | 11th grade,style="vertical-align:bottom" | Junior year
,Year 12,Lower sixth (first year),"  Key Stage 5, A level",16–17,Lower sixth,"  Key Stage 5, A level",16–17,S6,| [[Advanced Higher (Scottish)|Advanced Highers]],,
17–18,Year 13,Upper sixth (second year),,17–18,Upper sixth,,,,,style="border-left-width:3px" | 12th grade,Senior year
