[ File system
, Creator
, Year of introduction
, Original [[operating system]]
],
| [[Digital Equipment Corporation|DEC]],| 1964,| PDP-6 Monitor,
| [[IBM]],| 1964,| [[OS/360]],
| [[Digital Equipment Corporation|DEC]],| 1968,| [[TOPS-10]],
| [[International Computers and Tabulators|ICT]] (later [[International Computers Limited|ICL]]),| 1968,| [[GEORGE (operating system)|George 3]],
| [[Bell Labs]],| 1972,| [[Version 6 Unix]],
| [[Digital Equipment Corporation|DEC]],| 1973,| [[RT-11]],
| [[The General Electric Company plc|GEC]],| 1973,| Core Operating System,
| [[Digital Research]] ([[Gary Kildall]]),| 1974,| [[CP/M]]ref name="Shustek_2016"{{cite web |url=http://www.computerhistory.org/atchm/in-his-own-words-gary-kildall/ |title=In His Own Words: Gary Kildall |author-first=Len |author-last=Shustek |date=2016-08-02 |work=Remarkable People |publisher=[[Computer History Museum]]}}/,
| [[Digital Equipment Corporation|DEC]],| 1975,| [[RSX-11]],
| [[The General Electric Company plc|GEC]],| 1977,| [[OS4000]],
| [[Microsoft]] ([[Marc McDonald]]) for [[National Cash Register|NCR]],| 1977,| [[Microsoft Standalone Disk BASIC-80]] (later [[Microsoft Standalone Disk BASIC-86]])!-- but not the normal "non-Standalone" Disk BASIC-80 and -86! --,
| [[Apple Inc.|Apple]],| 1978,| [[Apple DOS]],
| [[UCSD]],| 1978,| [[UCSD p-System]],
| [[Commodore International|Commodore]],| 1978,| [[Commodore BASIC]],
| [[Atari]],| 1979,| [[Atari 8-bit]],
| [[Bell Labs]],| 1979,| [[Version 7 Unix]],
| [[Digital Equipment Corporation|DEC]],| 1979,| [[OpenVMS]],
| [[Seattle Computer Products]] ([[Tim Paterson]]),| !-- August --1980,| [[QDOS (SCP)|QDOS]]/[[86-DOS]] (later IBM [[PC DOS 1.0]]),
| [[Apple Inc.|Apple]],| 1980,| [[Apple SOS]] (later [[PRODOS|ProDOS 8]]),
| [[Acorn Computers Ltd]],| 1982,| [[BBC Micro|Acorn BBC Micro]] [[Acorn MOS|MOS]],
| [[Acorn Computers Ltd]],| 1983,| [[Acorn Electron]] (later [[RISC OS|Arthur/RISC OS]]),
| [[Marshall Kirk McKusick|Kirk McKusick]],| 1983,| [[4.2BSD]],
| [[IBM]] [[Microsoft]],| !-- August --1984,| [[PC DOS 3.0]] [[MS-DOS 3.0]],
| [[Apple Inc.|Apple]],| 1984,| [[System 1]],
| NPO "Scientific centre" (now [[Sitronics]]),| 1985,| [[Vilnius Basic]] BK monitor program,
| [[Apple Inc.|Apple]],| !-- September --1985,| [[System 2.1]],
| [[Metacomco]] for [[Commodore International|Commodore]],| 1985,| [[Amiga OS]],
| [[Digital Research]],| 1985,| [[Atari TOS]],
| [[Novell]],| 1985,| [[NetWare 286]],
| [[Ecma International]],| 1986,| [[MSCDEX]] for MS-DOS 3.1/3.2,
| [[Compaq]],| 1987 !-- November --,| [[Compaq MS-DOS 3.31]],
| [[Andrew S. Tanenbaum]],| 1987,| [[MINIX 1.0]],
| [[Commodore International|Commodore]],| 1988,| [[Amiga OS 1.3]],
| [[Ecma International]] [[ISO]],| 1988,| [[MS-DOS]] [["classic" Mac OS]] and [[AmigaOS]],
| [[IBM]] ; [[Microsoft]],| 1989 !-- November --,| [[OS/2 1.2]],
| [[IEEE]],| {{Circa|1990|sortable=yes}},| [[Unix]],
| [[IBM]],| 1990,| [[IBM AIX|AIX]]{{efn |name=note-11 |IBM introduced JFS with the initial release of [[IBM AIX|AIX]] Version 3.1 in 1990. This file system now called JFS1. The new JFS on which the Linux port was based was first shipped in [[OS/2 Warp]] Server for e-Business in 1999. The same sourcebase was also used for release JFS2 on AIX 5L.}},
| [[Veritas Software|VERITAS]],| 1991,| [[System V|SVR4.0]],
| [[Rémy Card]],| 1992,| [[Linux]],
| [[Digital Equipment Corporation|DEC]],| 1993,| [[Digital Unix]],
| [[Microsoft]] (Gary Kimura [[Tom Miller (computer programmer)|Tom Miller]]),| 1993,| [[Windows NT 3.1]],
| [[Margo Seltzer]],| 1993,| [[Sprite operating system|Berkeley Sprite]],
| [[Rémy Card]],| 1993,| [[Linux]] [[Hurd]],
| Q. Frank Xia,| 1993,| [[Linux]],
| [[Marshall Kirk McKusick|Kirk McKusick]],| 1994,| [[4.4BSD]],
| [[Silicon Graphics|SGI]],| 1994,| [[IRIX]],
| [[IBM]],| 1994,| [[MVS/ESA]] (now [[z/OS]]),
| [[Microsoft]],| 1995,| [[MS-DOS 7.0]] / [[Windows 95]],
| [[Microsoft]],| 1995,| [[Microsoft Windows]] [[Linux]] [["classic" Mac OS]] and [[FreeBSD]],
| [[International Organization for Standardization|ISO]]/[[Ecma International|ECMA]]/[[Optical Storage Technology Association|OSTA]],| 1995,| {{n/a}},
| [[Microsoft]],| 1996,| [[MS-DOS 7.10]] / [[Windows 95 OSR2]]{{efn |name=note-10 |[[Microsoft]] first introduced FAT32 in [[MS-DOS 7.1]] / [[Windows 95 OSR2]] (OEM Service Release 2) and then later in [[Windows 98]]. NT-based Windows did not have ''any'' support for FAT32 up to Windows NT4; Windows 2000 was the first NT-based Windows OS that received the ability to work with it.}},
| [[Sun Microsystems]],| 1996,| [[Solaris (operating system)|Solaris]],
| [[IBM]],| 1996,| [[IBM AIX|AIX]] [[Linux]],
| [[Be Inc.]] ([[Dominic Giampaolo|D. Giampaolo]] Cyril Meurillon),| 1996,| [[BeOS]],
| [[Andrew S. Tanenbaum]],| 1997,| [[MINIX 2.0]],
| [[Apple Inc.|Apple]],| 1998,| [[Mac OS 8.1]],
| [[Novell]],| 1998,| [[NetWare 5]],
| PolyServe,| 1998,| [[Windows]] [[Linux]],
| [[Digital Equipment Corporation|DEC]],| 1998,| [[OpenVMS 7.2]],
| [[NetApp]],| 1998,| [[NetApp filer|Data ONTAP]],
| [[Stephen Tweedie]],| 1999,| [[Linux]],
| [[Ecma International]] [[ISO]],| 1999,| [[Microsoft Windows]] [[Linux]] [["classic" Mac OS]] [[FreeBSD]] and [[AmigaOS]],
| [[IBM]],| 1999,| [[OS/2 Warp]] Server for e-business,
| [[Sistina Software|Sistina]] ([[Red Hat]]),| 2000,| [[Linux]],
| [[Namesys]],| 2001,| [[Linux]],
| [[IBM]],| 2001,| [[z/OS]] (backported to [[OS/390]]),
| [[Microsoft]],| 2002,| [[Xbox]],
| [[Marshall Kirk McKusick|Kirk McKusick]],| 2002,| [[FreeBSD 5.0]],
| [[Oracle Corporation]],| 2002,| [[Linux]],
| Phillip Lougher Robert Lougher,| 2002,| [[Linux]],
| [[VMware]],| 2002,| [[VMware ESX Server 2.0]],
| [[Cluster File Systems]],| 2002,| [[Linux]],
| [[Bell Labs]],| 2003,| [[Plan 9 from Bell Labs|Plan 9]] version 4,
| [[Google]],| 2003,| [[Linux]],
| [[Sun Microsystems]],| 2004,| [[Solaris (operating system)|Solaris]],
| [[Namesys]],| 2004,| [[Linux]],
| [[Palm Inc.]],| 2004,| [[Palm OS Garnet]],
|Fraunhofer/ [http://thinkparq.com/ ThinkParQ],|2005,|[[Linux]],
| Gluster Inc.,| 2005,| [[Linux]],
| [[Andrew S. Tanenbaum]],| 2005,| [[MINIX 3]],
| [[Oracle Corporation]],| 2005,| [[Linux]],
| [[Nippon Telegraph and Telephone|NTT]],| 2005,| [[Linux]],
| [[VMware]],| 2005,| [[VMware ESX Server 3.0]],
| [[Red Hat]],| 2006,| [[Linux]],
| various !-- but akpm is not one of them --,| 2006,| [[Linux]],
| [[Microsoft]],| 2006,| [[Windows CE 6.0]],
| [[Oracle Corporation]],| 2007,| [[Linux]],
| [[Hyperion Entertainment]],| 2008,| [[AmigaOS 4.1]],
| [[Matthew Dillon (computer scientist)|Matthew Dillon]],| 2008,| [[DragonFly BSD#2.0|DragonFly BSD 2.0]],
| [[StarWind Software]],| 2009,| [[Linux]] [[FreeBSD]] [[Windows]],
| [[Nasuni]],| 2009,| Cloud,
| [[Nimble Storage]],| 2010,| [[Linux]],
|Omnibond and others,|2011,| [[Linux]],
| [[VMware]],| 2011,| [[vSphere]] 5.0+,
| [[University of Szeged]],| 2011,| [[NetBSD]] 6.0+,
| [[Microsoft]],| 2012,| [[Windows Server 2012]],
| [[Samsung Electronics]],| 2012,| [[Linux]],
| Kent Overstreet,| 2015,| [[Linux]],
| [[Apple Inc.|Apple]],| 2016,| [[macOS High Sierra]] [[iOS 10.3]],
| [[University of California San Diego|UC San Diego]],| 2017,| [[Linux]],
| [[Matthew Dillon (computer scientist)|Matthew Dillon]],| 2017,| [[DragonFly BSD#5.0|DragonFly BSD 5.0]],
|[[Huawei]],|2018,|[[Android (operating system)|Android]],
,
