Model",Launch",Code name",Fab (nm)",Bus interface",Core clock (MHz)",Memory clock (MHz)",Core config1",Fillrate",,,,Memory",,,,,,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit)
"!,"October 1, 2001",NV20",TSMC 150 nm",AGP 4×PCI",175,200,4:1:8:4",700,700,1400,42.75,64128,6.4,DDR",128"
"!,"February 27, 2001",,,,200,230,,800,800,1600,50,64,7.36,,
"!,"October 1, 2001",,,,240,250,,960,960,1920,60,64128,8,,
