Name,Whole disk,Partition,File,Swap space,Hibernation file,RAID
Aloaha Secure Stick,no,no,yes,no,no,dunno
ArchiCrypt Live,yes(except for the boot volume),yes,yes,no,no,dunno
BestCrypt,yes,yes,yes,yes,yes,dunno
BitArmor DataControl,no,yes,no,yes,yes,dunno
BitLocker,yes(except for the boot volume),yes,yes,yes(parent volume is encrypted),yes(parent volume is encrypted),dunno
Bloombase Keyparc,yes,yes,yes,yes,no,dunno
CenterTools DriveLock,yes,yes,yes,yes,yes,dunno
CGD,yes,yes,yes,yes,no,dunno
Check Point Full Disk Encryption,yes,yes,yes,yes,yes,dunno
CipherShed,yes,yes,yes,yes,only on Windows,dunno
CrossCrypt,no,no,yes,no,no,dunno
CryFS,no,no,no,no,no,dunno
CryptArchiver,no,no,yes,no,no,dunno
Cryptic Disk,no,yes,yes,no,no,dunno
Cryhod,no,yes,no,yes,yes(parent volume is encrypted),dunno
Cryptoloop,yes,yes,yes,yes,no,dunno
Cryptomill,yes,n/a,yes,n/a,n/a,dunno
CryptoPro Secure Disk Enterprise,yes,yes,yes(add-on Secure Device),yes,yes,dunno
CryptoPro Secure Disk for BitLocker,yes,yes,yes,yes,yes,dunno
DiskCryptor,yes,yes,no,yes,yes,dunno
Disk Protect,yes,no,no,yes,yes,dunno
LUKS,yes,yes,yes,yes,yes,dunno
[http://www.securstar.de DriveCrypt],yes,yes,yes,yes,yes,dunno
DriveSentry GoAnywhere 2,no,yes,yes,no,no,dunno
E4M,No,Yes,Yes,No,no,dunno
e-Capsule Private Safe,no,no,yes,no,no,dunno
eCryptfs,no,no,yes,no,no,dunno
EgoSecure HDD Encryption,yes,yes,yes,yes,yes,dunno
EncryptUSB,no,no,yes,no,no,dunno
FileVault,no,no,yes
FileVault 2,yes,yes,no,yes,yes,dunno
FREE CompuSec,yes,no,yes,yes,yes,dunno
FreeOTFE,yes(except for the boot volume),yes,yes,no,no,dunno
GBDE,yes,yes,yes,yes,no,dunno
GELI,yes,yes,yes,yes,no,dunno
Loop-AES,yes,yes,yes,yes,yes,dunno
McAfee Drive Encryption (SafeBoot),yes,yes,yes,yes,yes,dunno
n-Crypt Pro,yes,yes,yes,no,no,dunno
PGPDisk,yes,yes,yes,yes,only on Windows,dunno
Private Disk,no,no,yes,no,no,dunno
ProxyCrypt,yes,yes,yes,no,no,dunno
R-Crypto,no,no,yes,no,no,dunno
SafeGuard Easy,yes,yes,extra module,yes,Each sector on disk is encrypted,dunno
SafeGuard Enterprise,yes,yes,yes,yes,Each sector on disk is encrypted,dunno
SafeGuard PrivateDisk,no,no,yes,no,no,dunno
SafeHouse Professional,no,no,yes,no,no,dunno
Scramdisk,no,yes,yes,no,no,dunno
Scramdisk 4 Linux,yes,yes,yes,yes,no,dunno
SecuBox,no,no,yes,n/a,no,dunno
[https://www.winmagic.com/encryption-solutions/enterprise-encryption SecureDoc],yes,yes,yes,yes,yes,dunno
Sentry 2020,no,no,yes,no,no,dunno
Seqrite Encryption Manager,yes,yes,yes,yes,yes,RAID-5
Softraid / RAID C,yes,yes,no,yes (encrypted by default in OpenBSD),no,dunno
Svnd / Vnconfig,dunno,yes,yes,yes (encrypted by default in OpenBSD),dunno,dunno
SpyProof!,no,yes,yes,no,no,dunno
Symantec Endpoint Encryption,yes,yes,yes,yes,yes,dunno
Trend Micro Endpoint Encryption,yes,yes,yes,yes,yes,dunno
TrueCrypt,yes,yes,yes,yes,only on Windows,dunno
VeraCrypt,yes,yes,yes,yes,only on Windows,dunno
CyberSafe Top Secret,no,yes,yes,no,no,dunno
Name,Whole disk,Partition,File,Swap space,Hibernation file,RAID
