Audio player,AVI,ASF,QuickTime,Ogg,OGM,Matroska,MP4,MPEG-21,NUT,FLV
AIMP,no,yes,no,yes,no,no,Partial,no,no,no
Amarok,yes,yes,yes,yes,Basic,Basic,yes,dunno,dunno,yes
Audacious,no,yes,no,yes,no,no,yes,no,no,Audio only
Audion,no,no,no,no,no,no,no,dunno,dunno,dunno
cmus,no,no,no,Vorbis only,no,Basic,yes,dunno,dunno,dunno
Cog,no,no,no,yes,no,no,partial,dunno,dunno,dunno
foobar2000,name=plugin,yes,no,yes,no,yes,yes,dunno,dunno,Audio only
JuK,no,no,no,Vorbis only,no,no,no,dunno,dunno,dunno
JRiver Media Center,yes,yes,yes,yes,yes,yes,yes,yes,dunno,yes
MediaMonkey,no,no,no,Vorbis only,no,no,no,dunno,dunno,dunno
MOC,yes,dunno,dunno,yes,dunno,yes,yes,dunno,dunno,yes
MPXPLAY,yes,yes,no,yes,dunno,dunno,yes,dunno,dunno,dunno
MusicBee,no,no,no,Vorbis only,no,no,AAC only,no,no,no
Musicmatch Jukebox,no,no,no,no,no,no,no,dunno,dunno,dunno
musikCube,no,no,no,Vorbis only,no,no,no,dunno,dunno,dunno
Rhapsody,no,no,no,no,no,no,no,dunno,dunno,dunno
Rhythmbox,no,yes,no,Vorbis only,no,no,name=through_gstreamer,dunno,dunno,dunno
Sayonara Player,no,dunno,no,Vorbis only,dunno,dunno,dunno,dunno,dunno,dunno
Sonique,name=autodl,no,no,yes,no,no,no,dunno,dunno,dunno
Winamp,yes,yes,name=plugin,yes,yes,yes,yes,dunno,dunno,yes
XMMS,no,no,no,Vorbis only,no,no,no,dunno,dunno,dunno
Zinf,no,no,no,Vorbis only,no,no,no,dunno,dunno,dunno
Audio player,AVI,ASF,QuickTime,Ogg,OGM,Matroska,MP4,MPEG-21,NUT,FLV
