Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
Alpine Linux,Alpine Linux Team,Alpine Linux Team,2006iso,3.12.0,dunno,2020-05-29iso,X,LEAF Project," security, lightweight, general",None,site active
ALT Linux,ALT Linux Team," ALT Linux Team, ALT Linux LLC",2001iso,9.1,dunno,2020-07-29iso,X,Mandrake Linux," general, school",None,site active
antiX,Anticapitalista,Anticapitalista,2007iso,19,dunno,2019-10-17iso,X," Debian, MEPIS",old computers,Some editions are free of charge,site active
ArchBang,Willensky Aristide,Stan McLaren,2011,Rolling,Rolling,dunno,X,Arch Linux (UKM Edition),general,None,site active
Arch Linux,Judd Vinet,dev team,2002iso,Rolling,Rolling,Rolling,X," Independent, inspired from CRUX",general,None,site active
BLAG,Brixton Linux Action Group,Brixton Linux Action Group,2002iso,140k,dunno,2011-05-04iso,100% Free: GNU FSDG,Fedora,desktop,None,site inactive
Bodhi Linux,Bodhi Linux Team,Bodhi Linux Team,2011iso,5.1.0,dunno,2020-03-25iso,X," Debian, Ubuntu"," desktop, lightweight",None,site active
Canaima,VIT / FUNDACITE / Free software community,VIT / FUNDACITE / Free software community,2007iso,6.0,dunno,2018-03-19iso,X," Debian, Ubuntu",Government of Venezuela,None,site active
CentOS,CentOS Project,CentOS Project,2003iso,8.2-2004,10 years,2020-6-15iso,X,Red Hat Enterprise Linux (RHEL)," server, workstation",None,site active
Chakra,Jan Mette and Arch Linux KDEmod developers,The Chakra Project Team,2010iso,Rolling,Rolling,dunno,X,Arch Linux,desktop,None,site active
Chrome OS,Sundar Pichai,Google,2009,84.0.4147.110,6.5 years,2020-07-29iso,X,Chromium OS,web applications,None,site active
ClearOS,Peter Baldwin,ClearFoundation,2000iso,7.6.0,dunno,2019-05-09iso,X," RHEL, CentOS"," server, gateway, network",Some editions are free of charge,site active
CrunchBang Linux,Philip Newborough,Philip Newborough,2008iso,11,dunno,2013-05-06iso,X,Debian,desktop,None,site inactive
Damn Small Linux,John Andrews,dev team,2003iso,4.4.10,dunno,2008-11-18iso,X," Debian, Knoppix"," lightweight, portable",None,site inactive
Debian,Ian Murdock,Debian Project,1993iso,10.6,~3 years,Softlanding Linux System (SLS)," general, server, desktop",None,site active
Debian Edu,,Debian Project,2004iso,10.3,~3 years,2020-02-08iso,DFSG,Debian,schools,None,site active
Devuan," The ""Veteran Unix Admins"" (VUA)"," The ""Veteran Unix Admins"" (VUA)",2016iso,2.1,dunno,2019-11-25iso,X,Debian,general,None,site active
Deepin," Wuhan Deepin Technology Co., Ltd."," Wuhan Deepin Technology Co., Ltd.",2004iso,15.11,dunno,2019-07-05iso,X,Debian,general,None,site active
Dragora GNU/Linux-Libre,Matias A. Fonzo,Matias A. Fonzo,2009iso,3.0-beta1,dunno,2019-10-16iso,100% Free: GNU FSDG," Independent, inspired from Slackware",general,None,site active
dyne:bolic,Jaromil,Jaromilx,2005iso,3.0.0,dunno,2011-09-08iso,100% Free: GNU FSDG,Debian,multimedia,None,site active
Elementary OS,Daniel Foré,elementary LLC,2011iso,5.1.2,dunno,2020-02-05iso,X,"Ubuntu, Debian",general,None,site active
ELinOS,SYSGO,SYSGO,1999iso,6.2,dunno,2017-10-01iso,X,–,embedded systems,partial,site active
Emdebian Grip,Embedded Debian Project,Embedded Debian Project,2009iso,3.1,End-of-life,2013-06-15iso,X,Debian,embedded systems,None,site inactive
EndeavourOS,Bryan Poerwoatmodjo,EndeavourOS,2019iso,Rolling,dunno,2020-07-15,X,Arch Linux,general,None,site active
Fedora,Fedora Project,Fedora Project,2003iso,32,1 year,2020-04-28iso,Fedora Licensing Guidelines,Red Hat Linux,general,None,site active
Freespire," Lindows.com, Inc.",PC/OpenSystems LLC,2001iso,6.0,dunno,2020-02-10iso,X,Ubuntu,desktop,None,site active
Gentoo Linux,Daniel Robbins," Gentoo Foundation, Inc.",2002iso,Rolling,Rolling,Rolling,Gentoo Social Contract,Enoch Linux,general,None,site active
Guix System,Ludovic Courtès," Ludovic Courtès, Ricardo Wurmus, the Guix community",2012iso,1.1.0,Rolling,2020-04-15iso,100% Free: GNU FSDG,–,general,None,site active
gNewSense,Brian Brazil and Paul OMalley,Sam Geeraerts with sponsorship from the FSF,2006iso,4.0 (Ucclia),dunno,2016-05-02iso,100% Free: GNU FSDG,Debian," general, server",None,site active
Grml,Michael Prokop,The Grml Team,2005iso,2018.12,dunno,2018-12-31iso,X,Debian," live, maintenance, security, network, forensic, accessibility",None,site active
Hyperbola GNU/Linux-libre,Hyperbola Founders,Hyperbola Founders,2017iso,0.3," 3 years (stable), 5 years (old stable)",2019-09-23iso,100% Free: GNU FSDG followed in Hyperbola Social Contract,Arch Linux,general,None,site active
Kali Linux," Max Moser, Mati Aharoni, Martin J. Muench",Offensive Security,2013iso,2020.2,dunno,2020-05-12iso,X,Debian," auditing, forensic, security, network",None,site active
Knoppix,Klaus Knopper,dev team,2000iso,8.6,dunno,2019-08-08iso,X,Debian,live,None,site active
Kodibuntu,The XBMC Project,Team Kodi,2008iso,dunno,dunno,dunno,X," Debian, Ubuntu",multimedia,None,site inactive
Korora,Chris Smart,Dev Team,2005iso,26,dunno,2017-09-16iso,X,Fedora,desktop,None,site inactive
LibreCMC,LibreCMC team,LibreCMC team,2010iso,1.4.8,dunno,2019-06-30iso,100% Free: GNU FSDG,Merged from LibreWRT,embedded systems,None,site active
Linspire," Linspire, Inc."," Linspire, Inc.",2001iso,8.7,dunno,2020-03-03iso,X,Ubuntu,dunno,Commercial,site active
