[ Name
, Creator
, Input format
, Languages
, OS support
, First public release date
, Latest stable version
, [[Software license]]
],
| [[Walter Bright]],| Text,| D,| Windows OS X Linux and BSD,| 2005/09/19,| DMD 2.078.3,| {{Free|Boost}},
| Innovasys,| Text Binary,| C++/CLI only Java C# VB VBScript IDL PL/SQL,| Windows only,| 1998,| 2014.1,| {{Nonfree|Proprietary}},
| [[Dimitri van Heesch]],| Text,| C/C++ Java C# D IDL Fortran PHP Python Tcl,| Any,| 1997/10/26,| 1.8.14,| {{Free|GPL}},
| Edward Loper,| Text,| Python,| Any,| 2002/01/—,| 3.0 (2008),| {{Free|[[MIT License|MIT]]}},
| Sebastian Guenther,| Text,| Pascal,| {{Check|date=July 2020}},| 2005?,| 2.6.4,| {{Free|GPL}},
| [[Simon Marlow]],| Text,| Haskell,| Any,| 2002,| 2.15.0 (2014),| {{Free|BSD}},
| [[Apple Inc.]],| Text,| C C++ Java Delphi Pascal IDL PHP Perl Python Ruby JavaScript Tcl AppleScript MIG Bash Csh,| Any Unix-like,| 2000/09/—,| 8.9.28 (2013),| {{Free|[[Apple Public Source License|APSL]]}},
| Imagix Corp.,| Text,| C C++ Java,| Windows Linux Unix,| 1995,| 7.3,| {{Nonfree|Proprietary}},
| [[Sun Microsystems]],| Text,| Java,| Any,| 1995,| 1.6,| {{Free|GPL}},
| LAMP EPFL,| Text,| Scala,| Any,| 2011,| 1.0,| {{Free|Scala License}},
| Michael Mathews,| Text,| JavaScript,| Any,| 2001/07/—,| 1.10.2,| {{Free|GPL}},
| Michael Mathews,| Text,| JavaScript,| Any,| 2007?,| 2.0.0,| {{Free|MIT}},
| Jean-Paul Louyot,| Text,| Any with comments,| Any ({{Check|type=OS X?|date=July 2020}}),| 1989,| 2015,| {{Free|[[EUPL]] GPL}},
| Greg Valure,| Text,| Any with comments,| Any,| 2003/05/26,| 2.0.2,| {{Free|GPL}},
| Jason Diamond Jean-Claude Manoli Kral Ferch,| Binary,| C#,| Windows only,| 2003/07/27,| 1.3.1,| {{Free|GPL}},
| John MacFarlane,| ?,| ?,| Any,| 2006,| 1.14.0.3 (2015),| {{Free|GPL}},
| kernc,| Text,| Python,| Any,| 2013,| 0.5.1,| {{Free|Affero GPL}},
| [[Larry Wall]],| Perl,| Text,| Any,| 1994,| 5.16.3,| {{Free|[[Artistic License|Artistic]] GPL}},
| Joshua Eichorn,| Text,| PHP,| Any,| 2000,| 1.4.4,| {{Free|[[GNU Lesser General Public License|LGPL]]}},
| Ka-Ping Yee,| Text,| Python,| Any,| 2000,| in Python core,| {{Free|[[Python Software Foundation License|Python]]}},
| Dave Thomas,| Text,| C C++ Ruby,| Any,| 2001/12/14,| in Ruby core,| {{Free|[[Ruby License|Ruby]]}},
| Frans Slothouber,| Text,| Any with comments,| Any,| 1995/01/19,| 4.99.36 (2015),| {{Free|GPL}},
| [[Microsoft]],| Text,| .NET,| Windows only,| 2008/05/—,| 2014.5.31.0,| {{Free|[[Shared source#Microsoft Public License .28Ms-PL.29|Ms-PL]]}},
| Georg Brandl,| Text,| C C++ Ada Fortran PHP Python Ruby JavaScript,| Any,| 2008/03/21,| 1.6.3,| {{Free|BSD}},
| Novalys,| Text Binary,| C# PL/SQL Transact-SQL PowerBuilder,| Windows only,| 1995,| 2017,| {{Nonfree|Proprietary}},
| Helixoft,| Text,| C# VB VBScript,| Windows only,| 2003 Oct 2,| 9.0,| {{Nonfree|Proprietary}},
| Loren Segal,| Text,| Ruby,| Any,| 2007/02/24,| 0.7.3,| {{Free|MIT}},
! Creator,! Input format,! Languages,! OS support,! First public release date,! Latest stable version,! [[Software license]],
,
