,Display,Resolution,Colors,Controller,Game media,Operating System
GP2X," 3.5"" Backlit TFT LCD"," data-sort-value=""76.8""  320 × 240"," 262,144 colors (F100) ; 16.77 million colors (F200)",Eight-Directional Digital Stick,Secure Digital Memory Cards,
GPD Win," 5.5"" backlit H-IPS touchscreen"," data-sort-value=""912.6""  1280 × 720 ",," 2x analog sticks, D-pad, 4 face buttons, 4 shoulder buttons, 67-button QWERTY keyboard, touchscreen"," Various, incl. but not limited to: Digital download, video game ROM .ISO image, MicroSD card",Windows 10
GPD Win 2," 6"" backlit H-IPS touchscreen (w/wireless Miracast and Intel WiDi support)"," data-sort-value=""912.6""  1280 × 720 (w/4K video support, 4096x2304 max)",," 2x analog sticks, D-pad, 4 face buttons, 6 shoulder buttons, 80-button QWERTY keyboard, touchscreen"," Various, incl. but not limited to: Digital download, video game ROM .ISO image, MicroSD card",Windows 10
Pandora," 4.3"" Backlit LCD touchscreen"," data-sort-value=""384""  800 × 480"," 16,777,216 colours"," Two analogue nubs, 4-Way D-pad, 2 shoulder buttons, 46 key qwerty keyboard, touchscreen"," SD, SDHC and SDXC",
Game Boy Micro,2 in. LCD," data-sort-value=""38.4""  240 × 160"," 32,768 colors",D-pad,Proprietary solid-state cartridge,
Gizmondo,2.8 in. LCD," data-sort-value=""76.8""  240 × 320"," 65,536 colors",Four-directional digital pad,SD card or downloadable,Windows CE
PlayStation Portable,4.3 in. LCD," data-sort-value=""130.56""  480 × 272"," 16,777,216 colours"," Four-directional digital pad, analog thumbstick",UMD or memory stick,
GCW Zero," 3.5"" Backlit TFT LCD"," data-sort-value=""76.8""  320 × 240"," 262,144 colors"," 8-directional digital pad, analog joystick, L/R shoulder buttons, ABXY action buttons, start  ; select buttons, power slider",micro SDHC and micro SDXC,
Nintendo DS," data-sort-value=""3"" Two 3 in. LCDs"," data-sort-value=""98.3""  256 × 192 (×2)"," 262,144 colors"," D-pad, stylus-driven touchscreen",Proprietary matrix memory cards,
N-Gage QD,2.1 in. LCD," data-sort-value=""36.6""  176 × 208"," 4,096 colors",Four-directional digital pad,MMC or downloadable,
Timetop Gameking 1  ; 2,2.1 in. Reflective LCD (Backlit in Gameking 2).," data-sort-value=""1.5""  48 × 32",4 shades of gray,Four-directional digital pad,Proprietary solid-state cartridge,
GP32,3.5 in. TFT," data-sort-value=""76.8""  320 × 240"," 65,536 colors",Four-directional digital stick,Rewritable SmartMedia,
Dingoo A320,2.8 in. LCD," data-sort-value=""76.8""  240 × 320"," 65,536 colors"," Four-directional digital pad, shoulder buttons, action buttons, start  ; select buttons"," Built-in, miniSD card or downloadable",μC/uOS-II
Linux
Tapwave Zodiac,3.8 in. LCD," data-sort-value=""153.6""  480 × 320"," 65,536 colors"," 8-directional analog thumbstick, stylus-driven touchscreen",SD card or downloadable,
N-Gage,2.1 in. LCD," data-sort-value=""36.6""  176 × 208"," 4,096 colors",Four-directional digital pad,MMC N-Gage Arena,Symbian OS 6.1 (Series 60)
Game Boy Advance SP,2.9 in. LCD," data-sort-value=""38.4""  240 × 160"," 32,768 colors",D-Pad,Proprietary solid-state cartridge,
Game Boy Advance,2.9 in. LCD," data-sort-value=""38.4""  240 × 160"," 32,768 colors",D-Pad,Proprietary solid-state cartridge,
Swan Crystal,2.8 in. TFT LCD," data-sort-value=""32.3""  224 × 144"," 4,096 colors, 241 simultaneous",Four-directional digital pad,Proprietary solid-state cartridge,
WonderSwan Color,2.8 in. FSTN reflective LCD," data-sort-value=""32.3""  224 × 144"," 4,096 colors, 241 simultaneous",Four-directional digital pad,Proprietary solid-state cartridge,
WonderSwan,2.49 in. FSTN Reflection LCD," data-sort-value=""32.3""  224 × 144",,Four-directional digital pad,Proprietary solid-state cartridge,
Game Boy Color,TFT LCD," data-sort-value=""23""  160 × 144"," 32,768 colors; 10, 32 or 56 simultaneous",Four-directional digital pad,Proprietary solid-state cartridge,
Neo Geo Pocket Color,TFT LCD," data-sort-value=""24.3""  160 × 152"," 4,096 colors, 146 simultaneous",8-directional digital thumbstick,Proprietary solid-state cartridge,
Neo Geo Pocket,TFT LCD," data-sort-value=""24.3""  160 × 152",16 palettes per plane?,8-directional digital thumbstick,Proprietary solid-state cartridge,
game.com,3.9 in. LCD," data-sort-value=""32""  200 × 160",4," Four-directional digital pad, touchscreen",Proprietary solid-state cartridge,
Game Boy Light,Backlit Reflective LCD," data-sort-value=""23""  160 × 144",4,D-Pad,Proprietary solid-state cartridge,
Game Boy Pocket,Reflective LCD," data-sort-value=""23""  160 × 144",4,D-Pad,Proprietary solid-state cartridge,
