Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,Memory,,,
,,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit)
"!,unk,C51M",110",HyperTransport",425",System memory",2:1:2:1",850",425",850",106.25",Up to 128 MB system",System memory",DDR2",64/128"
"!,unk,,,,,,,,,,,,,,
"!,unk,NV44M",,PCIe ×16",300,600,4:3:4:2",1200,600,1200,225,16",2.4,DDR",32
"!,unk,,,,400,700",,1600,800,1600,250,,5.6,,64
"!,unk,NV43M,,,300",,8:3:8:4,3000",1500",3000",281.25,128",11.2,,128
"!,"November 8, 2004",NV41M",,,,130",7001100",,,,12:5:12:12",,375,22.435.2",DDR, DDR2DDR3",256"
"!,"February 24, 2005",,,,,,,,,,,450,5400,,,,3600,5400,562.5,256
