Tools,User Interface,Create  ; Alter wizard,,,,Browse,,,,Auto Completion,Syntax colored,Multi server support,Monitoring server
,,Database,Table,Procedure,Trigger,,,,
Database,Table,Procedure,Trigger
"!,Browser-based,yes,yes,yes,yes,yes,yes,yes,yes,no,Yes,dunno,dunno
,",desktop,yes,yes,yes,yes,yes,yes,yes,yes,Yes,Yes,Yes,dunno
"!,Browser-based,no," create CRUD interfaces, so create table data, not table theriselves.",no,no,no," Browse table data, not table definitions.",no,no,no,no,no,dunno
,",desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,dunno
,",desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,dunno
,",desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no
,",desktop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes
"!,desktop,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,dunno
"!,desktop,no,yes,no,no,yes,yes,yes,yes,yes,yes,dunno,dunno
"!,desktop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
,",desktop,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,dunno,dunno
,",desktop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,some
,",desktop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,dunno
,",desktop,no,yes,no,yes,no,no,no,no,yes,yes,yes,dunno
"!,Browser-based,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,dunno,yes
,",desktop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
,",desktop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
,",TDI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,some
"!,Browser-based,yes,yes,no,yes,yes,yes,no,yes,yes,yes,dunno,dunno
,",Browser-based,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
,",desktop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
,",desktop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,dunno,dunno
,",desktop,dunno,dunno,dunno,dunno,yes,yes,dunno,dunno,yes,yes,some,dunno
"!,desktop,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,dunno,dunno
,",desktop,yes,yes,yes,yes,some,some,some,some,no,yes,dunno,dunno
,",desktop,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,dunno
