,+
ACER
Manufacturer,Model,Weight  ;#91;kg ;#93;,Weight  ;#91;lb ;#93;," Display size """,Display resolution,Display DPIgroup=Notedispdpi,CPU,Speed  ;#91;GHz ;#93;,HSDPA,Video chipset,Video connection(s),Storage type,Storage  ;#91;GB ;#93;,RAM  ;#91;GB ;#93;,Battery life  ;#91;h ;#93; (low end),Battery life  ;#91;h ;#93; (high end),Keyboard size in %group=Notekbdpct,Camera,Mouse layout,OS choice(s),Windows OS choice(s),Manual / DataSheet
Acer Inc.,Aspire One,"  0.99, 1.26","  2.18, 2.77",8.9 - 11.6," 6144001024×600, 1366×768 WSVGA LED glossy",133-135,Atom,1.6,,GMA 950,VGA," SSD + SDHC, HDD"," 8, 16 / 120, 160, 25 "," 0.5, 1, 2",33 (3-cell),66–7 (6-cell),?,Built-in," Touchpad, buttons on each side",Linpus,7 Starter Edition,
ALWAYS INNOVATING
Always Innovating,Touch Book,0.675/1.418 group=Notetouchbook,1.488/3.126 group=Notetouchbook,8.9,1024×600 touchscreen,133-102,OMAP3530,0.6,,C64x+ DSP,None,Removable SD card,8,0.25," 3-5 (tablet only, 6000 mAh)"," 10-15 (with keyboard, 12000 mAh)",95%,None,Touchpad 2-buttons below," Ångstrom, Android",CE/not x86 based,
AIGO
Aigo,MID P8880T,0.34,0.75,4.8,384000800×480,194,Atom,0.8,TD,GMA 500,VGA," SSD + SDHC, HDD"," 8, 16 / 120"," 0,5 or 1",33 (3-cell),66–7 (6-cell),,3.2 MP,Touchscreen,,XP,
ARCHOS
Archos,Archos 10,1.23,2.7,10.2,3840001024×600,116,Atom N270,1.6,,GMA 950,VGA,HDD,160,1,,,,1.3 MP,Touchpad 2-buttons below,,XP,
ASUS
Manufacturer,Model,Weight  ;#91;kg ;#93;,Weight  ;#91;lb ;#93;," Display size """,Display resolution,Display DPIgroup=Notedispdpi,CPU,Speed  ;#91;GHz ;#93;,HSDPA,Video chipset,Video connection(s),Storage type,Storage  ;#91;GB ;#93;,RAM  ;#91;GB ;#93;,Battery life  ;#91;h ;#93; (low end),Battery life  ;#91;h ;#93; (high end),Keyboard size in %group=Notekbdpct,Camera,Mouse layout,Unix OS choice(s),Windows OS choice(s),Manual / DataSheet
Asus,701SD,0.905,2.00,7,384000800×480 WVGA matte,133,Celeron-M ULV 353,0.9,dunno,dunno,VGA,SSD,8,0.5,3.43.4,3.53.5,83%,0.3 MP,dunno,Linux,XP Home,
Asus,900,0.99,2.18,8.9,6144001024×600  WSVGA matte,133,Celeron-M ULV 353,0.9,,dunno,VGA,SSD," 12, 16, 20",1,3.53.5 (4-cell),3.53.5 (4-cell),83%,1.3 MP,Touchpad 2-buttons below,Xandros,XP,
Asus,900A,0.99,2.18,8.9,6144001024×600  WSVGA matte,133,Atom N270,1.6,,GMA 950,VGA,SSD," 4, 8, 16",1,3.53.5 (4-cell),3.53.5 (4-cell),83%," None, 0.3 MP",Touchpad 2-buttons below,Xandros,XP,
Asus,900HA,1.23,2.7,8.9,6144001024×600  WSVGA matte,133,Atom N270,1.6,,GMA 3150,VGA,HDD,160,1,3.53.5 (4-cell),10400 mAh 7.5hr10400 mAh 7.5hr (8-cell),83%,0.3 MP,Touchpad 2-buttons below,dunno,Windows XP,
Asus,901,1.14,2.51,8.9,6144001024×600  WSVGA matte,133,Atom N270,1.6,PCB sockets present. Mod option.,GMA 950,VGA,SSD + SDHC," 12, 20",1-2,4.24.2,7.87.8,83%,1.3 MP,Touchpad 2-buttons below,Xandros,XP,
Asus,Eee PC 904HD,1.40,3.09,8.9,6144001024×600 WVGA,133,Celeron-M,0.9,,dunno,VGA,HDD,80,1,dunno,dunno,dunno,dunno,,dunno,XP,
Asus,Eee PC 1000,1.45,3.19,10.1,6144001024×600  WSVGA matte,117,Atom N270,1.6,,945 GME,VGA," SSD + SDHC, HDD",40 / 80 / 120 / 160," 1, 2",4.24.2,7.87.8,92%,dunno,,Xandros,XP,
Asus,Eee PC 1000HE,1.45,3.20,10.1,6144001024×600  WSVGA matte,117,Atom N280,1.66,,GMA 950,VGA,HDD,160," 1, 2",dunno,9.59.5,92%,1.3 MP,Touchpad 2-buttons below,None,XP Home,
Asus,Eee PC 1001HA,1.1,2.4,10.1," 6144001024×600WSVGA, matte",117,Atom N270,1.6,,GMA 950,VGA,HDD,160," 1, 2 (one slot, field upgradable)"," 44 (3-cell, 2200mAh, 23Wh)"," 8 (6-cell, 4600mAh, 48Wh)",92%,0.3 MP," Touchpad 2-buttons below, multitouch",GNU,XP Home,
Asus,Eee PC 1005HA-PU1Xgroup=Noteasus1005,1.27,2.81,10.1," 6144001024×600WSVGA, glossy",117,Atom N280,1.66,,GMA 950,VGA,HDD,160 + 10 Eee Storage," 1, 2 (one slot, field upgradable)group=Noteasus1005",
