Format,Languages
string1  ; string2,"Ada, VB, VB .NET, COBOL (between literals only)"
"  strcat(string1, string2)"," C, char * only)"
string1 . string2,"Perl, PHP"
string1 + string2,"C#, Cobra, Go, Pascal, Delphi), Java, Python, Ruby, Rust, F#, Swift, Turing, VB, Ya"
string1 ~ string2,"D, Raku"
(string-append string1 string2),"Scheme, ISLISP"
(concatenate string string1 string2),Common Lisp
(str string1 string2),Clojure
string1,string2,"Rexx, SQL, PL/I"
string1 // string2,Fortran
string1 ++ string2,"Erlang, Haskell"
string1 ^ string2,"F#"
[string1 stringByAppendingString:string2],Objective-C (NSString * only)
string1 .. string2,Lua
" string1 , string2","APL"
string1 string2,SNOBOL
string1string2,Bash shell
string1  string2,Mathematica
concat string1 string2,Tcl
