First success,LEO,GTO / GEO,Notes
" scope=""row""  11 Feb 1970",JPN L-4S (26 kg),,First launch was 1966 (failed 4 times).
" scope=""row""   24 Apr 1970",CHN CZ-1 (0.3 t),,First launch failed in 1969.
" scope=""row""   26 Jul 1975",CHN FB-1 (2.5 t),,Suborbital flight was performed in 1972.<br />{{Flagicon|CHN}}[[Long March 2A|CZ-2A]] (LEO 2t) failed in 1974.
" scope=""row""   12 Aug 1986",JPN US H-I (LEO 3.2 t / GTO 1.1 t),,First stage was a license-built [[Delta (rocket family)|Delta]] rocket.
" scope=""row""   16 Jul 1990",CHN CZ-2E (LEO 9.2 t / GTO 3.5 t),,
" scope=""row""   3 Feb 1994",JPN H-II (LEO 10.1 t / GTO 3.9 t),,
" scope=""row""   20 Aug 1997",CHN CZ-3B (LEO 12 t / GTO 5.2 t),,
" scope=""row""  18 Dec 2006",JPN H-IIA204 (LEO 15 t / GTO 5.8 t),,
" scope=""row""   10 Sep 2009",JPN H-IIB (LEO 19 t / GTO 8 t),,
" scope=""row""   3 Nov 2016",JPN H-IIB (LEO 19 t),CHN CZ-5 (GTO 14 t),
" scope=""row""   5 May 2020",CHN CZ-5 (LEO 25 t / GTO 14 t),,
