,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
Mouse,,,,,,,
onclick,Dunno,Dunno,Dunno,Dunno,Dunno,Dunno,Dunno
ondblclick,,,,,,,
onmousedown,,,,,,,
onmouseup,,,,,,,
onmouseover,,,,,,,
onmousemove,,,,,,,
onmouseout,,,,,,,
Keyboard,,,,,,,
onkeypress,Dunno,Dunno,Dunno,Dunno,Dunno,Dunno,Dunno
onkeydown,,,,,,,
onkeyup,,,,,,,
