Name,CBC w/ predictable IVs,CBC w/ secret IVs,CBC w/ random per-sector keys,LRW,XTS,Authenticated encryption
Aloaha Crypt Disk,no,no,no,yes,yes,dunno
ArchiCrypt Live,no,no,no,Legacy support,yes,dunno
BestCrypt,no,yes,no,yes,yes,dunno
BitArmor DataControl,no,yes,Plumb-IV,no,no,dunno
BitLocker,no,yes,No,No," Yes, Windows 10 10547+",dunno
Bloombase Keyparc,dunno,yes,dunno,dunno,dunno,dunno
CGD,no,yes,no,no,no,dunno
CenterTools DriveLock,dunno,dunno,dunno,dunno,dunno,dunno
Check Point Full Disk Encryption,no,no,yes,yes,yes,dunno
CipherShed,Legacy support,no,no,Legacy support,yes,dunno
CrossCrypt,yes,no,no,no,no,dunno
CryFS,no,no,yes,no,no,dunno
CryptArchiver,dunno,dunno,dunno,dunno,dunno,dunno
Cryptic Disk,no,no,no,no,yes,no
Cryhod,no,yes,no,no,no,dunno
Cryptoloop,yes,no,no,no,no,no
DiskCryptor,no,no,no,no,yes,dunno
LUKS,yes,yes,no," Yes, using *-lrw-benbi"," Yes, using *-xts-plain"," Yes, using --integrity mode"
DriveCrypt,dunno,dunno,dunno,dunno,dunno,dunno
DriveSentry GoAnywhere 2,dunno,dunno,dunno,dunno,dunno,dunno
E4M,dunno,dunno,dunno,no,no,dunno
e-Capsule Private Safe,dunno,dunno,dunno,dunno,dunno,dunno
eCryptfs,no,yes,dunno,no,no,dunno
EgoSecure HDD Encryption,no,yes,no,no,no,dunno
FileVault,yes,no,no,no,no,dunno
FileVault 2,no,no,no,no,yes,dunno
FREE CompuSec,yes,no,no,no,no,dunno
FreeOTFE,yes,yes,no,yes,yes,no
GBDE,no,no,yes,no,no,dunno
GELI,no,yes,no,no,yes,dunno
Loop-AES," single-key, multi-key-v2 modes",multi-key-v3 mode,no,no,no,no
McAfee Drive Encryption (SafeBoot),no,Yes,no,no,no,dunno
n-Crypt Pro,dunno,dunno,no,no,no,dunno
PGPDisk,dunno,dunno,dunno,dunno,dunno,dunno
Private Disk,no,yes,no,no,no,dunno
ProxyCrypt,no,no,no,no,yes,dunno
R-Crypto,dunno,dunno,dunno,dunno,dunno,dunno
SafeGuard Easy,dunno,dunno,dunno,dunno,dunno,dunno
SafeGuard Enterprise,dunno,dunno,dunno,dunno,dunno,dunno
SafeGuard PrivateDisk,dunno,dunno,dunno,dunno,dunno,dunno
SafeHouse Professional,yes,no,no,no,no,dunno
Scramdisk,no,yes,no,no,no,dunno
Scramdisk 4 Linux,no,yes,no,yes,yes,dunno
SecuBox,yes,no,no,no,no,dunno
SecureDoc,dunno,dunno,dunno,dunno,dunno,dunno
Sentry 2020,dunno,dunno,dunno,dunno,dunno,dunno
Seqrite Encryption Manager,no,yes,no,yes,yes,dunno
Softraid / RAID C,dunno,dunno,dunno,dunno,yes,dunno
Svnd / Vnconfig,dunno,dunno,dunno,dunno,dunno,dunno
Symantec Endpoint Encryption,no,no,yes,no,no,dunno
TrueCrypt,Legacy support,no
USBCrypt,no,yes,no,no,yes,dunno
VeraCrypt,no,no,no,no,yes,dunno
CyberSafe Top Secret,no,no,no,no,yes,dunno
Name,CBC w/ predictable IVs,CBC w/ secret IVs,CBC w/ random per-sector keys,LRW,XTS,Authenticated encryption
