scope="col" width="5em",Austria,Belgium,CzechRepublic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia ;Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland ;Liechtenstein,Turkey,Ukraine,UnitedKingdom
One-way street,60px,60px,60px,,60px,NOTUSED,60px," 60px",60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px
,scope="col"  60px,NOTUSED,60px,60px,60px,60px,NOTUSED," 60px",60px,60px,60px,NOTUSED,60px,60px,60px,60px,NOTUSED,,60px,60px,60px,60px,60px,60px,NOTUSED,60px,60px,60px
scope="col"  Pedestrian crossing,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60pxor60px,60px,60px,60px,NOTUSED
scope="col"  Advisory speed limit,NOTUSED,,60px,60px,60px,60px,60px,"60x60px",60px,60px,NOTUSED,,60px,60px,60px,60px,NOTUSED,60px,60px,60px,60px,60px,60px,60px,NOTUSED,,60px,60px  or  60px (temporary)
scope="col"  Lane ends,60px,60px,60px,,60px or 60px,60px,60px," 60px",60px,60px,60px,60px,60px,,60px,60px,60px,60px,60px,60px," 60px",60px,60px,60px,60px,60px,60px,60px
scope="col"  Road bump,,60px,60px,,,,60px,NOTUSED,,,,,NOTUSED,,,,,,,60px,60px,,,,NOTUSED,,,
scope="col"  Residential area/Living street,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,NOTUSED,60px,60px,60px,60px,60px,60px,60pxor60px,,60px,60px
scope="col"  Pedestrian zone,60px,60px,60px,60px,60px,60px,60px," 60px",,60px,,60px,60px,60px,,60px,,,60px,60px (Russia) 60px (Belarus),60pxor60px,60px,,60px,60pxor60px,,60px,60px
scope="col"  Bus lane,60px,60px,60px,,60px,60px,60px," 60px",60px,60px,,60px,60px," 60px",60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,,60px,60px
scope="col"  Limited-access road,60px,60px,60px,60px,NOTUSED,60px,60px,60px,60px,60px,rowspan="2"  NOTUSED,,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,NOTUSED
scope="col"  End of limited-access road,60px,60px,60px,60px,,60px,60px," 60px",60px,60px,60px,,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px
scope="col"  Motorway,60px,60px,60px,60px,60px,60px,60px," 60px",60px,60px,NOTUSED,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,,60px
scope="col"  End of motorway,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px,60px
scope="col" width="5em",Austria,Belgium,CzechRepublic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Russia ;Belarus,Slovakia,Slovenia,Spain,Sweden,Switzerland ;Liechtenstein,Turkey,Ukraine,UnitedKingdom
