Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core configname=CoreConfig,Bus interface," rowspan=""2"" L2 Cache (MB)",Clock speeds,,,Memory,,,,|[[Fillrate]]{{efn|name=PerfValues}},,|Processing power ([[GFLOPS]]){{efn|name=PerfValues}}{{efn|name=ProcessingPower}},,,|[[Thermal design power|TDP]] (Watts),|[[Scalable Link Interface|SLI]] support,|Release price (USD),
,,,,,,,,Base core clock (MHz),Boost core clock (MHz),Memory (MT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width ([[bit]]),Pixel ([[Pixel|GP]]/s){{efn|name=PixelFillrate}}{{efn|As the GTX 1070 has one of the four GP104 GPCs disabled in the die, its frontend is only able to rasterize 48 pixels per clock. Analogically, the GTX 1060 features only two GPCs on its GP106 die, meaning that its frontend can only rasterize 32 pixels per clock. The remaining backend ROPs can still be used for tasks such as MSAA.}},Texture ([[Texel (graphics)|GT]]/s){{efn|name=TextureFillrate}},[[Single precision floating-point format|Single precision]],[[Double precision floating-point format|Double precision]],[[Half precision floating-point format|Half precision]],MSRP,,,Founders Edition
GeForce GT 1030," March 12, 2018",GP108-310-A1,Samsung14LPP,1.8,74,384:24:16 (3) (1),PCIe 3.0 x4,?,1152,1379,2100,2,16.8,DDR4,64,18.422.0,27.633.0,884.71 ;thinsp;059.0,27.633.0,13.816.5,20,No,$79,N/A
," May 17, 2017",GP108-300-A1,,,,,,.5,1227,1468,6000,,48.0,GDDR5,,19.6<br />23.4,29.4<br />35.2,942.3<br />1 ;thinsp;127.4,29.4<br />35.2,14.7<br />17.6,30,,$70,
GeForce GTX 1050," October 25, 2016",GP107-300-A1,,3.3,132,640:40:32 (5) (2),PCIe 3.0 x16,1,1354,1455,7000,,112.0,,128,43.346.6,54.158.8,1 ;thinsp;733.11 ;thinsp;862.4,54.158.2,27.0<br />29.1,| 75<br />(Retail<br />up to<br />120),,$109,
," May 21, 2018",GP107-301-A1,,,,768:48:24 (6) (2),,.75,1392,1518,,3,84.0,,96,33.4<br />36.4,66.8<br />72.9,2 ;thinsp;138.1<br />2 ;thinsp;331.6,66.8<br />72.9,33.4<br />36.4,,,{{Unk}},
GeForce GTX 1050 Ti," October 25, 2016",GP107-400-A1,,,,768:48:32 (6) (2),,1,1290,1392,,4,112.0,,128,41.2<br />44.5,61.9<br />66.8,1 ;thinsp;981.4<br />2 ;thinsp;138.1,61.9<br />66.8,30.9<br />33.4,,,$139,
GeForce GTX 1060," December 25, 2016",GP104-140-A1,16FF,7.2,314,1152:72:48 (9) (2),,1.5?,1506,1708,8000,3,192.0,,192,72.281.9,108.4122.9,3 ;thinsp;469.83 ;thinsp;935.2,108.4122.9,54.261.4,| 120<br />(Retail<br />up to<br />200),,| $199,
," August 18, 2016",GP106-300-A1,,4.4,| 200,,,1.5,,,,,,,,,,,,,,,,
," December 26, 2017",GP106-350-K3-A1,,,,1280:80:40 (10) (2),,1.25,,,,5,160.0,160,60.2<br />68.3,| 120.4<br />136.7,| 3 ;thinsp;855.3<br />4 ;thinsp;375.0,| 120.4<br />136.7,| 60.2<br />68.3,{{okay|OEM}},,
," March 8, 2018",GP104-150-A1,7.2,314,1280:80:48 (10) (2),1.5,,6,,,,| 192.0,| 192,| 72.2<br />82.0,{{unk}},,,,,
," December, 2018",GP104-150-KA-A1,,,,,,,,,,,,,,,,,,[[GDDR5X]],,
," July 19, 2016",GP106-400-A1,4.4,200,,1.5?,,,,,,,,,| [[GDDR5]],,,,,$249,,$299,
," April 20, 2017",GP106-410-A1,,,,,,,,,,,,,,,,,,9000,,216.0,$299,{{n/a}}
GeForce GTX 1070," June 10, 2016 /Dec. 2018",GP104-200-A1,7.2,314,1920:120:64 (15) (3),2,1683,8000,8,256.0,GDDR5 / GDDR5X,256,96.3107.7,180.7201.9,5 ;thinsp;783.06 ;thinsp;462.7,180.7201.9,90.3100.9,150(Retailup to250),4-way SLI or 2-way SLI HB,$379,$449 ($399)
GeForce GTX 1070 Ti," November 2, 2017",GP104-300-A1,,,2432:152:64 (19) (4),,,,,,1607,,[[GDDR5]],102.8<br/>107.7,244<br />256,7 ;thinsp;816.4<br />8 ;thinsp;186.1,244.2<br />255.8,122.1<br />127.9,,| 180<br />(Retail<br />up to<br />300),| $449,
