,Launch,Market,Chipset,Code name,Device id. ",Core renderclock (MHz),Pixel pipelines,vertex/pixel),API support ",,,GB/s),DVMT (MiB),,,
,,,,,,,,,Direct3D,OpenGL,OpenCL,,,MPEG-2,VC-1,AVC
Extreme Graphics,2002,Desktop,845G845GL845GV,Brookdale,2562,200,2,3.0 (SW) / No,6.0 (full)9.0 (some features, no hardware shaders) ",1.3  ES 1.1Linux,No,2.1,64,MC,No,No
,2001,Mobile,830M830MG,Almador,3577,166,,,,,,1,,,,
Extreme Graphics 2,2003,Desktop,865G865GV,Springdale,2572,266,,,,,,6.4,,,,
,,Mobile,852GM852GME852GMV,Montara,3582,133–266,,,,,,2.1–2.7,,,,
,,,854,,358E,,,,,,,,,,,
,,,855GM  855GME,,3582,,,,,,,,,,,
