",CRC32,MD5,SHA-1,SHA-224,SHA-256,SHA-384,SHA-512,SHA-3,Panama,RIPEMD-128,RIPEMD-160,RIPEMD-256,RIPEMD-320,Tiger,Whirlpool,Other
7-Zip,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no," CRC64, BLAKE2sp "
AccuHash,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
BeaverSFV,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://www.kvipu.com/CDCheck/ CDCheck],yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no," MD2, MD4, Adler 32 Gost 32, Haval, Tiger"
[http://cfv.sourceforge.net cfv],yes,yes,yes,no,no,no,no,no,dunno,dunno,dunno,dunno,dunno,dunno,dunno,Torrent file
[http://checksumcompare.sanktuaire.com/ Checksum Compare],no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
[http://www.acera.no/products/checksums Checksums],no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,-
[http://compressme.net/ CHK],yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes," Adler-32, BLAKE2b, BLAKE2bp, BLAKE2s, BLAKE2sp, CRC64, MD4, SHA-1 (Base32), SHA-256 (Base64), SHA-512/224, SHA-512/256"
cksum,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,dunno
[https://github.com/calzakk/CyoHash CyoHash],yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,-
[http://www.leisenfels.com/en/products/digester Data Digester],no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes," MD2, PGP"
[http://sourceforge.net/projects/deepdigest/ DeepDigest],no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
Double Commander,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no," BLAKE2s, BLAKE2b, MD4, HAVAL"
DySFV,yes,yes,yes,yes,yes,yes,yes,dunno,no,no,yes,no,no,no,no,dunno
eXpress CheckSum Calculator,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://www.exactfile.com ExactFile],yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,yes,no," GOST, MD2"
FastSum,no,yes,no,no,no,no,no,dunno,no,no,no,no,no,no,no,dunno
[http://support.microsoft.com/kb/841290 FCIV],no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
[http://www.febooti.com/products/filetweak/members/hash-and-crc/ Febooti Hash  ; CRC],yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes," MD2, MD4"
FileVerifier++,yes,yes,yes,yes,yes,yes,yes,dunno,no,yes,yes,yes,yes,no,yes,dunno
FlashSFV,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[http://www.slavasoft.com/fsum FSUM],yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,no,yes,no,Adler-32
[http://fsumfe.sourceforge.net/ FSUM Frontend],yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,Total 96 algorithms
PowerShells[https://docs.microsoft.com/en-us/powershell/module/Microsoft.PowerShell.Utility/Get-FileHash?view=powershell-6 Get-FileHash],no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,MACTripleDES
[http://www.slavasoft.com/hashcalc HashCalc],yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,no,yes,no," MD2, MD4, Adler-32"
[https://github.com/gurnec/HashCheck HashCheck Shell Extension],yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,MD4
[http://www2.arnes.si/~ljc3m2/igor/software/IGLibShellApp/HashForm.html HashForm],dunno,yes,yes,no,yes,no,yes,dunno,no,no,no,no,no,no,no,dunno
[http://www2.arnes.si/~ljc3m2/igor/software/IGLibShellApp/HashForm.html#hashshell HashShell],dunno,yes,yes,dunno,yes,dunno,yes,dunno,no,no,no,no,no,no,no,dunno
[https://www.cdtag.com/ilsfv ilSFV],yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
[http://www.jonelo.de/java/jacksum Jacksum],yes,yes,yes,yes,yes,yes,yes,dunno,yes,yes,yes,yes,yes,yes,yes,Total 58 algorithms
[http://code.google.com/p/jdigest/ jdigest],no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
[http://sourceforge.net/projects/jhashcalc/ jHashCalc],no,yes,yes,no,yes,yes,yes,dunno,no,yes,yes,no,no,yes,yes,MD4
[http://www.digital-tronic.com/md5-file-hasher/ MD5 File Hasher],no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,dunno
[http://raylin.wordpress.com/downloads/md5-sha-1-checksum-utility/ MD5  ; SHA Checksum Utility],yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,dunno
md5deep,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,dunno
md5sum,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,dunno
[http://www.md5summer.org/ MD5summer],no,yes,no,no,no,no,no,no,no,dunno,no,dunno,dunno,no,no,dunno
[http://apps.microsoft.com/windows/en-us/app/md5-win-verifier/0c116c08-0bd6-42c4-80e3-476a7df6d934 MD5 Win Verifier],no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,dunno
[https://web.archive.org/web/20180416101810/http://www.abelhadigital.com/multihasher/ MultiHasher],yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no
QuickSFV,yes,yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
PeaZip,yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,yes," Adler-32, CRC16, CRC24, CRC64, eDonkey, MD4"
[http://rapidcrc.sourceforge.net RapidCRC],yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,dunno
[http://www.kifoth.de/jane/misc/#RekSFV RekSFV],yes,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,MD4 and HAVAL
[http://rhash.sourceforge.net/ RHash],yes,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes,MD4 and more
[http://mindbytez.com/ SafeFileManager],dunno,yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
[https://technet.microsoft.com/en-us/sysinternals/bb897441.aspx Sigcheck],no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,IMP
[http://www.traction-software.co.uk/sfvchecker/ SFV Checker],yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
sha1sum,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
sha3sum,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no," Keccak, SHAKE, RawSHAKE"
SuperSFV,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
TeraCopy,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,XxHash
[http://www.mannerud.org/software/toms-hash-explorer/ Toms Hash Explorer],no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no," Entropy_(information_theory), Shannons Entropy"
[http://www.toolsley.com/hash.html Toolsley Hash  ; Validate],yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,dunno
Total Commander,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,dunno
WinHasher,no,yes,yes,no,yes,yes,yes,dunno,no,no,yes,no,no,yes,yes,dunno
wxChecksums,yes,yes,no,no,no,no,no,dunno,no,no,no,no,no,no,no,dunno
"!,CRC32,MD5,SHA-1,SHA-224,SHA-256,SHA-384,SHA-512,SHA-3,Panama,RIPEMD-128,RIPEMD-160,RIPEMD-256,RIPEMD-320,Tiger,Whirlpool,Other
