Model,Code name,Fab (nm),Bus interface,Core clock (MHz),Shader clock (MHz),Memory clock (MHz),Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS),Supported API version,,TBP (Watts)
,,,,,,,,Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Direct3D,OpenGL,
Quadro FX 380M,GT218M,40,PCIe 2.0 ×16,625,1530,1600,16:8:4,2.5,5,512,12.8,GDDR3,64,73.44,10.1,3.3,25
Quadro FX 880M,GT216M,,,550,1210,,48:16:8,4.4,8.8,1024,25.6,,128,174.24,,,35
Quadro FX 1800M,GT215M,,,450,1080,16002200,72:24:8,3.6,10.8,,25.635.2,,,GDDR3GDDR5,,,233.28,45
Quadro FX 2800M,G92M,55,,500,1250,2000,96:48:16,8,16,,64,GDDR3,256,360,10.0,,75
Quadro FX 3800M,,,,675,1688,,128:64:16,10.8,43.2,,,,,648.192,,,100
