Driver,Chipset,Integration,Free firmware,License,Development,Free software
[https://archive.is/20051124094349/http://www.opensolaris.org/os/community/laptop/wireless/ath/ ath],Atheros AR5211/ AR5212/ AR5213/ AR5214,Integrated with Solaris Nevada build 29,No firmware required,Dual GPL/BSD with proprietary HAL,Port of Madwifi,no
[https://archive.is/20051214023112/http://www.opensolaris.org/os/community/laptop/wireless/ipw/ ipw],Intel PRO/Wireless 2100,Community project,no,BSD,Ported from OpenBSD,yes
[https://archive.is/20060213195115/http://www.opensolaris.org/os/community/laptop/wireless/iwi/ iwi],Intel PRO/Wireless 2200BG/2225BG/2915ABG,Community project,no,BSD,Ported from OpenBSD,yes
[https://web.archive.org/web/20060523022050/http://www.opensolaris.org/os/community/laptop/wireless/pcan/ pcan],Cisco Aironet 340/350,Community project,n/a,BSD,Ported from FreeBSD,yes
[https://archive.is/20060523022104/http://www.opensolaris.org/os/community/laptop/wireless/pcwl/ pcwl],PRISM-2 802.11b,Community project,n/a,BSD,Ported from FreeBSD,yes
[https://web.archive.org/web/20061013131629/http://opensolaris.org/os/community/laptop/wireless/ral/ ral],Ralink RT2500,Community project,n/a,BSD,Ported from OpenBSD,yes
[https://archive.is/20070127022247/http://www.opensolaris.org/os/community/laptop/wireless/rtw/ rtw],Realtek RTL8180L,Community project,n/a,BSD,Ported from NetBSD,yes
[https://archive.is/20070422195703/http://www.opensolaris.org/os/community/laptop/wireless/malo/ malo],Marvell 88W8335/ 88W8310,Community project,n/a,BSD,Ported from OpenBSD,yes
[https://web.archive.org/web/20070616170447/http://www.opensolaris.org/os/community/laptop/wireless/wpi/ wpi],Intel PRO/Wireless 3945ABG,Community project,no,BSD,Ported from OpenBSD,yes
[https://web.archive.org/web/20080420130600/http://opensolaris.org/os/community/laptop/wireless/iwk/ iwk],Intel Wireless WiFi Link 4965AGN,Community project,no,BSD,Ported from OpenBSD,yes
[https://archive.is/20090403214123/http://www.opensolaris.org/os/community/laptop/wireless/arn/ arn],Atheros 9000,Community project,no,BSD,based on ath9k,yes
[https://archive.is/20090704031328/http://www.opensolaris.org/os/community/laptop/wireless/rwd/ rwd],Ralink RT2561/RT2561S/RT2661,Community project,no,BSD,,yes
[https://archive.is/20090226214405/http://www.opensolaris.org/os/community/laptop/wireless/rwn/ rwn],Ralink RT2700/2800,Community project,no,BSD,,yes
[https://web.archive.org/web/20090118183541/http://opensolaris.org/os/community/laptop/wireless/urtw/ urtw],Realtek RTL8187L/B USB,Community project,no,BSD,,yes
[https://archive.is/20090323055125/http://www.opensolaris.org/os/community/laptop/wireless/atu/ atu],Atmel AT76C50x,Community project,no,BSD,,yes
[https://archive.is/20091031021454/http://www.opensolaris.org/os/community/laptop/wireless/mwl/ mwl],Marvell 88W8363,Community project,no,BSD,,yes
[https://web.archive.org/web/20080420070154/http://opensolaris.org/os/community/laptop/wireless/ural/ ural],Ralink RT2500USB,Community project,no,BSD,,yes
[https://web.archive.org/web/20080420070427/http://opensolaris.org/os/community/laptop/wireless/zyd/ zyd],ZyDAS ZD1211 chipsets,Community project,yes,BSD,Ported from OpenBSD,yes
